Step       0 (bc0.0)s   | [R_te] min: -1.23           max: 1.41           Avg: -0.22 (0.22)        | [MSE_tr]  0.8095    | w_noise: [0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368]
Step   27000 (bc17.5)s  | [R_te] min: 2837.39         max: 2898.39        Avg: 2876.83 (5.29)      | [MSE_tr]  0.4193    | w_noise: [0.022 0.026 0.039 0.133 0.286 0.657 0.868 1.283 1.487 2.085]
Step   28000 (bc18.0)s  | [R_te] min: 2880.88         max: 2917.59        Avg: 2904.59 (3.48)      | [MSE_tr]  0.4198    | w_noise: [0.022 0.026 0.039 0.133 0.285 0.657 0.867 1.276 1.499 2.090]
Step   29000 (bc18.2)s  | [R_te] min: 1811.21         max: 2811.00        Avg: 2452.65 (121.85)    | [MSE_tr]  0.4175    | w_noise: [0.022 0.026 0.038 0.133 0.287 0.659 0.868 1.278 1.500 2.095]
Step   30000 (bc18.4)s  | [R_te] min: 2836.21         max: 2890.68        Avg: 2866.25 (5.54)      | [MSE_tr]  0.4164    | w_noise: [0.022 0.026 0.038 0.133 0.285 0.656 0.869 1.279 1.497 2.083]
Step   31000 (bc18.3)s  | [R_te] min: 2901.23         max: 2967.04        Avg: 2920.50 (6.01)      | [MSE_tr]  0.4155    | w_noise: [0.022 0.026 0.038 0.133 0.285 0.653 0.878 1.279 1.498 2.082]
Step   32000 (bc18.5)s  | [R_te] min: 2795.47         max: 2835.04        Avg: 2815.93 (3.48)      | [MSE_tr]  0.4131    | w_noise: [0.022 0.026 0.038 0.132 0.284 0.656 0.878 1.269 1.497 2.080]
Step   33000 (bc18.4)s  | [R_te] min: 2845.18         max: 2892.17        Avg: 2871.94 (4.15)      | [MSE_tr]  0.4129    | w_noise: [0.022 0.026 0.038 0.132 0.284 0.653 0.874 1.275 1.501 2.076]
Step   34000 (bc18.4)s  | [R_te] min: 2816.15         max: 2885.62        Avg: 2852.53 (7.82)      | [MSE_tr]  0.4118    | w_noise: [0.022 0.026 0.038 0.133 0.284 0.651 0.871 1.276 1.502 2.072]
Step   35000 (bc18.3)s  | [R_te] min: 2862.63         max: 2900.50        Avg: 2881.62 (3.55)      | [MSE_tr]  0.4090    | w_noise: [0.022 0.026 0.038 0.133 0.285 0.649 0.870 1.271 1.499 2.073]
Step   36000 (bc18.5)s  | [R_te] min: 2547.13         max: 2860.22        Avg: 2806.84 (27.83)     | [MSE_tr]  0.4087    | w_noise: [0.022 0.026 0.038 0.133 0.285 0.649 0.872 1.270 1.493 2.059]
Step   37000 (bc18.5)s  | [R_te] min: 2844.33         max: 2875.14        Avg: 2862.15 (3.20)      | [MSE_tr]  0.4073    | w_noise: [0.022 0.026 0.038 0.133 0.283 0.649 0.870 1.266 1.485 2.073]
Step   38000 (bc18.3)s  | [R_te] min: 2827.95         max: 2871.24        Avg: 2852.28 (4.22)      | [MSE_tr]  0.4067    | w_noise: [0.022 0.026 0.038 0.132 0.283 0.652 0.872 1.265 1.495 2.074]
Step   39000 (bc18.4)s  | [R_te] min: 2835.97         max: 3045.36        Avg: 2973.13 (16.63)     | [MSE_tr]  0.4052    | w_noise: [0.022 0.026 0.038 0.132 0.283 0.650 0.870 1.264 1.496 2.079]
Step   40000 (bc18.3)s  | [R_te] min: 1488.40         max: 2754.70        Avg: 2442.55 (128.20)    | [MSE_tr]  0.4063    | w_noise: [0.022 0.026 0.038 0.132 0.282 0.645 0.870 1.264 1.487 2.081]
Step   41000 (bc18.4)s  | [R_te] min: 2802.87         max: 2842.24        Avg: 2821.42 (3.66)      | [MSE_tr]  0.4055    | w_noise: [0.022 0.026 0.038 0.132 0.284 0.648 0.864 1.261 1.484 2.091]
Step   42000 (bc18.2)s  | [R_te] min: 1746.23         max: 2829.00        Avg: 2532.74 (123.50)    | [MSE_tr]  0.4023    | w_noise: [0.022 0.026 0.038 0.132 0.283 0.652 0.865 1.261 1.495 2.090]
Step   43000 (bc18.5)s  | [R_te] min: 2589.93         max: 2928.34        Avg: 2864.46 (29.44)     | [MSE_tr]  0.4021    | w_noise: [0.023 0.026 0.038 0.131 0.285 0.650 0.860 1.257 1.492 2.083]
Step   44000 (bc18.5)s  | [R_te] min: 2866.89         max: 2965.27        Avg: 2914.78 (7.86)      | [MSE_tr]  0.4003    | w_noise: [0.022 0.026 0.038 0.131 0.286 0.651 0.866 1.258 1.493 2.074]
Step   45000 (bc18.3)s  | [R_te] min: 2759.82         max: 2881.85        Avg: 2834.56 (11.17)     | [MSE_tr]  0.3995    | w_noise: [0.022 0.026 0.038 0.131 0.287 0.652 0.868 1.267 1.485 2.071]
Step   46000 (bc18.4)s  | [R_te] min: 2214.20         max: 2891.14        Avg: 2757.21 (70.45)     | [MSE_tr]  0.3998    | w_noise: [0.022 0.026 0.038 0.131 0.286 0.649 0.866 1.272 1.490 2.077]
Step   47000 (bc18.2)s  | [R_te] min: 2269.44         max: 2889.46        Avg: 2768.06 (53.23)     | [MSE_tr]  0.3980    | w_noise: [0.022 0.026 0.038 0.131 0.287 0.647 0.864 1.259 1.499 2.072]
Step   48000 (bc18.1)s  | [R_te] min: 2872.82         max: 2932.84        Avg: 2904.43 (6.63)      | [MSE_tr]  0.3977    | w_noise: [0.022 0.026 0.038 0.132 0.286 0.649 0.862 1.257 1.497 2.081]
Step   49000 (bc18.4)s  | [R_te] min: 2880.28         max: 2952.49        Avg: 2923.48 (6.62)      | [MSE_tr]  0.3961    | w_noise: [0.022 0.026 0.038 0.132 0.283 0.649 0.864 1.265 1.489 2.084]
Step   50000 (bc18.8)s  | [R_te] min: 2518.60         max: 2908.51        Avg: 2791.16 (39.19)     | [MSE_tr]  0.3973    | w_noise: [0.022 0.026 0.038 0.132 0.285 0.648 0.867 1.267 1.487 2.095]
Step   51000 (bc18.4)s  | [R_te] min: 1553.86         max: 2996.22        Avg: 2830.43 (134.72)    | [MSE_tr]  0.3962    | w_noise: [0.022 0.026 0.038 0.132 0.284 0.649 0.868 1.268 1.483 2.091]
Step   52000 (bc18.3)s  | [R_te] min: 2823.96         max: 2875.75        Avg: 2857.34 (5.80)      | [MSE_tr]  0.3952    | w_noise: [0.022 0.026 0.038 0.132 0.284 0.651 0.863 1.262 1.496 2.085]
Step   53000 (bc18.5)s  | [R_te] min: 2514.51         max: 2934.86        Avg: 2853.96 (37.16)     | [MSE_tr]  0.3950    | w_noise: [0.022 0.026 0.038 0.132 0.285 0.648 0.859 1.262 1.488 2.079]
