Step       0 (bc0.0)s   | [R_te] min: -1.67           max: 1.03           Avg: -0.58 (0.25)        | [MSE_tr]  0.4224    | w_noise: [0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368]
Step   27000 (bc15.9)s  | [R_te] min: 2780.28         max: 2821.40        Avg: 2798.84 (4.04)      | [MSE_tr]  0.1734    | w_noise: [0.022 0.023 0.026 0.051 0.085 0.162 0.230 0.306 0.389 0.536]
Step   28000 (bc15.9)s  | [R_te] min: 2733.05         max: 2841.68        Avg: 2793.59 (8.21)      | [MSE_tr]  0.1722    | w_noise: [0.022 0.023 0.026 0.051 0.085 0.162 0.229 0.306 0.390 0.534]
Step   29000 (bc15.7)s  | [R_te] min: 2544.81         max: 2664.06        Avg: 2600.14 (11.81)     | [MSE_tr]  0.1721    | w_noise: [0.022 0.023 0.026 0.051 0.084 0.162 0.228 0.306 0.388 0.534]
Step   30000 (bc15.7)s  | [R_te] min: 2673.35         max: 2772.18        Avg: 2732.76 (9.48)      | [MSE_tr]  0.1694    | w_noise: [0.022 0.023 0.026 0.051 0.085 0.161 0.227 0.306 0.388 0.534]
Step   31000 (bc15.7)s  | [R_te] min: 2719.23         max: 2803.78        Avg: 2774.79 (7.67)      | [MSE_tr]  0.1689    | w_noise: [0.022 0.023 0.026 0.051 0.085 0.160 0.228 0.305 0.387 0.534]
Step   32000 (bc16.1)s  | [R_te] min: 2671.62         max: 2782.19        Avg: 2729.43 (11.39)     | [MSE_tr]  0.1680    | w_noise: [0.022 0.023 0.026 0.051 0.084 0.160 0.229 0.304 0.386 0.534]
Step   33000 (bc17.2)s  | [R_te] min: 2743.74         max: 2829.69        Avg: 2788.34 (8.66)      | [MSE_tr]  0.1666    | w_noise: [0.022 0.023 0.026 0.051 0.084 0.159 0.229 0.304 0.386 0.535]
Step   34000 (bc16.2)s  | [R_te] min: 2647.61         max: 2744.13        Avg: 2689.18 (9.23)      | [MSE_tr]  0.1659    | w_noise: [0.022 0.023 0.026 0.050 0.085 0.160 0.228 0.302 0.386 0.534]
Step   35000 (bc15.7)s  | [R_te] min: 2775.91         max: 2831.52        Avg: 2807.95 (5.80)      | [MSE_tr]  0.1640    | w_noise: [0.022 0.023 0.026 0.050 0.084 0.161 0.227 0.304 0.386 0.535]
Step   36000 (bc15.9)s  | [R_te] min: 2458.98         max: 2609.57        Avg: 2553.80 (12.51)     | [MSE_tr]  0.1644    | w_noise: [0.022 0.023 0.026 0.050 0.084 0.161 0.228 0.305 0.388 0.532]
