Step   27000 (bc16.9)s  | [R_te] min: 3790.75         max: 4065.21        Avg: 3914.86 (28.03)     | [MSE_tr]  0.1668    | w_noise: [0.001 0.001 0.002 0.010 0.031 0.091 0.142 0.206 0.280 0.394]
Step   28000 (bc17.0)s  | [R_te] min: 3839.55         max: 4194.90        Avg: 3998.89 (32.88)     | [MSE_tr]  0.1657    | w_noise: [0.001 0.001 0.002 0.010 0.031 0.091 0.142 0.205 0.280 0.392]
Step   29000 (bc16.7)s  | [R_te] min: 3784.74         max: 4262.84        Avg: 4039.18 (52.33)     | [MSE_tr]  0.1651    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.091 0.141 0.206 0.280 0.391]
Step   30000 (bc16.4)s  | [R_te] min: 3738.81         max: 4119.92        Avg: 3945.71 (40.87)     | [MSE_tr]  0.1642    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.090 0.141 0.205 0.280 0.391]
Step   31000 (bc16.4)s  | [R_te] min: 3679.42         max: 3975.14        Avg: 3852.43 (29.50)     | [MSE_tr]  0.1634    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.090 0.141 0.205 0.279 0.391]
Step   32000 (bc16.7)s  | [R_te] min: 3617.99         max: 4149.49        Avg: 3946.62 (44.00)     | [MSE_tr]  0.1627    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.090 0.141 0.204 0.279 0.389]
Step   33000 (bc16.7)s  | [R_te] min: 3211.21         max: 4026.13        Avg: 3854.19 (73.83)     | [MSE_tr]  0.1621    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.090 0.141 0.205 0.278 0.390]
Step   34000 (bc16.8)s  | [R_te] min: 7.58            max: 4020.68        Avg: 3408.35 (360.23)    | [MSE_tr]  0.1614    | w_noise: [0.001 0.001 0.002 0.009 0.030 0.089 0.141 0.205 0.279 0.389]
Step   35000 (bc16.7)s  | [R_te] min: 2213.60         max: 4181.06        Avg: 3747.17 (165.74)    | [MSE_tr]  0.1609    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.140 0.203 0.278 0.388]
Step   36000 (bc16.3)s  | [R_te] min: 3765.74         max: 4064.53        Avg: 3888.65 (31.07)     | [MSE_tr]  0.1607    | w_noise: [0.001 0.001 0.002 0.009 0.029 0.089 0.140 0.203 0.278 0.387]
