Step       0 (bc0.0)s   | [R_te] min: 986.00          max: 994.50         Avg: 988.87 (0.83)       | [MSE_tr]  0.2826    | w_noise: [0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368]
Step    1000 (bc17.9)s  | [R_te] min: 2034.21         max: 3671.21        Avg: 3344.38 (141.24)    | [MSE_tr]  0.2015    | w_noise: [0.312 0.310 0.311 0.312 0.331 0.378 0.404 0.422 0.439 0.451]
Step    2000 (bc17.6)s  | [R_te] min: 518.10          max: 4115.97        Avg: 3562.27 (326.80)    | [MSE_tr]  0.1976    | w_noise: [0.244 0.244 0.243 0.244 0.266 0.325 0.381 0.428 0.469 0.509]
Step    3000 (bc17.8)s  | [R_te] min: 2447.25         max: 4072.05        Avg: 3740.19 (159.14)    | [MSE_tr]  0.1953    | w_noise: [0.188 0.187 0.187 0.187 0.209 0.268 0.336 0.401 0.462 0.535]
Step    4000 (bc17.6)s  | [R_te] min: 1998.05         max: 4206.01        Avg: 3873.21 (199.26)    | [MSE_tr]  0.1936    | w_noise: [0.143 0.142 0.142 0.143 0.164 0.223 0.295 0.366 0.438 0.535]
Step    5000 (bc17.7)s  | [R_te] min: 4012.60         max: 4297.92        Avg: 4150.51 (27.90)     | [MSE_tr]  0.1919    | w_noise: [0.108 0.107 0.108 0.109 0.130 0.189 0.260 0.334 0.410 0.521]
Step    6000 (bc17.7)s  | [R_te] min: 3866.61         max: 4280.67        Avg: 4037.50 (36.94)     | [MSE_tr]  0.1910    | w_noise: [0.081 0.081 0.081 0.083 0.104 0.164 0.232 0.306 0.385 0.501]
Step    7000 (bc17.8)s  | [R_te] min: 4061.87         max: 4451.30        Avg: 4185.47 (33.53)     | [MSE_tr]  0.1894    | w_noise: [0.061 0.061 0.061 0.064 0.085 0.147 0.213 0.284 0.365 0.481]
Step    8000 (bc17.8)s  | [R_te] min: 4063.57         max: 4406.07        Avg: 4243.59 (36.62)     | [MSE_tr]  0.1881    | w_noise: [0.046 0.046 0.046 0.050 0.071 0.133 0.198 0.268 0.349 0.465]
Step    9000 (bc17.9)s  | [R_te] min: 585.47          max: 4323.59        Avg: 3820.17 (341.98)    | [MSE_tr]  0.1864    | w_noise: [0.035 0.035 0.035 0.039 0.061 0.124 0.185 0.255 0.336 0.452]
Step   10000 (bc17.7)s  | [R_te] min: 4009.47         max: 4296.70        Avg: 4206.32 (27.10)     | [MSE_tr]  0.1851    | w_noise: [0.026 0.026 0.026 0.032 0.053 0.116 0.176 0.245 0.324 0.439]
Step   11000 (bc17.9)s  | [R_te] min: 3784.83         max: 4240.16        Avg: 4077.57 (45.16)     | [MSE_tr]  0.1836    | w_noise: [0.020 0.020 0.020 0.026 0.048 0.111 0.169 0.237 0.316 0.430]
Step   12000 (bc18.1)s  | [R_te] min: 3923.17         max: 4165.47        Avg: 4073.12 (21.98)     | [MSE_tr]  0.1822    | w_noise: [0.015 0.015 0.016 0.022 0.045 0.107 0.164 0.232 0.309 0.423]
Step   13000 (bc18.2)s  | [R_te] min: 1680.64         max: 4400.40        Avg: 3955.99 (242.42)    | [MSE_tr]  0.1804    | w_noise: [0.011 0.011 0.012 0.019 0.042 0.104 0.160 0.226 0.304 0.418]
Step   14000 (bc17.7)s  | [R_te] min: 608.09          max: 4278.69        Avg: 3727.77 (330.74)    | [MSE_tr]  0.1801    | w_noise: [0.009 0.009 0.009 0.017 0.039 0.102 0.157 0.222 0.299 0.412]
Step   15000 (bc17.9)s  | [R_te] min: 1770.87         max: 4217.80        Avg: 3848.39 (221.27)    | [MSE_tr]  0.1776    | w_noise: [0.007 0.007 0.008 0.016 0.038 0.100 0.155 0.218 0.295 0.409]
Step   16000 (bc18.0)s  | [R_te] min: 3984.92         max: 4206.48        Avg: 4094.38 (18.92)     | [MSE_tr]  0.1769    | w_noise: [0.005 0.005 0.006 0.015 0.037 0.098 0.153 0.216 0.292 0.405]
Step   17000 (bc17.8)s  | [R_te] min: 3878.98         max: 4217.48        Avg: 4074.96 (34.28)     | [MSE_tr]  0.1751    | w_noise: [0.004 0.004 0.005 0.014 0.036 0.097 0.151 0.213 0.291 0.404]
Step   18000 (bc17.8)s  | [R_te] min: 3596.41         max: 4201.86        Avg: 3997.92 (55.66)     | [MSE_tr]  0.1746    | w_noise: [0.004 0.004 0.004 0.013 0.035 0.096 0.149 0.212 0.290 0.402]
Step   19000 (bc17.7)s  | [R_te] min: 3570.57         max: 3983.26        Avg: 3816.14 (34.83)     | [MSE_tr]  0.1736    | w_noise: [0.003 0.003 0.004 0.013 0.034 0.095 0.148 0.210 0.289 0.400]
Step   20000 (bc17.6)s  | [R_te] min: 3889.40         max: 4266.37        Avg: 4008.22 (33.34)     | [MSE_tr]  0.1724    | w_noise: [0.003 0.003 0.003 0.012 0.033 0.094 0.147 0.209 0.287 0.399]
Step   21000 (bc17.6)s  | [R_te] min: 3771.47         max: 4108.95        Avg: 3951.95 (28.94)     | [MSE_tr]  0.1710    | w_noise: [0.002 0.002 0.003 0.012 0.033 0.093 0.146 0.208 0.284 0.397]
Step   22000 (bc17.6)s  | [R_te] min: 3727.33         max: 3943.15        Avg: 3874.82 (25.16)     | [MSE_tr]  0.1705    | w_noise: [0.002 0.002 0.003 0.012 0.032 0.092 0.145 0.207 0.282 0.397]
Step   23000 (bc18.0)s  | [R_te] min: 3872.44         max: 4238.50        Avg: 4054.66 (35.18)     | [MSE_tr]  0.1696    | w_noise: [0.002 0.002 0.003 0.011 0.032 0.092 0.145 0.207 0.281 0.396]
Step   24000 (bc18.1)s  | [R_te] min: 3930.84         max: 4125.99        Avg: 4054.92 (21.18)     | [MSE_tr]  0.1686    | w_noise: [0.002 0.002 0.003 0.011 0.032 0.092 0.145 0.206 0.281 0.394]
Step   25000 (bc17.8)s  | [R_te] min: 3443.17         max: 4114.91        Avg: 3901.86 (53.29)     | [MSE_tr]  0.1675    | w_noise: [0.002 0.002 0.002 0.011 0.031 0.092 0.144 0.205 0.280 0.393]
Step   26000 (bc17.7)s  | [R_te] min: 3636.59         max: 3947.43        Avg: 3759.80 (28.06)     | [MSE_tr]  0.1666    | w_noise: [0.001 0.002 0.002 0.011 0.031 0.091 0.143 0.205 0.281 0.391]
Step   27000 (bc18.1)s  | [R_te] min: 3648.01         max: 4347.35        Avg: 3919.21 (57.65)     | [MSE_tr]  0.1654    | w_noise: [0.001 0.001 0.002 0.010 0.031 0.091 0.142 0.205 0.281 0.391]
Step   28000 (bc17.9)s  | [R_te] min: 3725.42         max: 4167.75        Avg: 3977.67 (45.56)     | [MSE_tr]  0.1649    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.091 0.142 0.205 0.282 0.390]
Step   29000 (bc17.6)s  | [R_te] min: 361.43          max: 4014.67        Avg: 3363.10 (325.64)    | [MSE_tr]  0.1642    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.091 0.142 0.205 0.282 0.391]
Step   30000 (bc17.9)s  | [R_te] min: 3765.21         max: 4118.81        Avg: 3941.16 (41.19)     | [MSE_tr]  0.1637    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.091 0.142 0.204 0.280 0.389]
Step   31000 (bc17.6)s  | [R_te] min: 3661.91         max: 4073.35        Avg: 3916.19 (40.71)     | [MSE_tr]  0.1626    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.090 0.142 0.203 0.279 0.389]
Step   32000 (bc17.9)s  | [R_te] min: 3776.30         max: 4101.75        Avg: 3928.92 (36.04)     | [MSE_tr]  0.1620    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.090 0.142 0.203 0.279 0.389]
Step   33000 (bc17.7)s  | [R_te] min: 3887.80         max: 4160.36        Avg: 4012.84 (32.79)     | [MSE_tr]  0.1614    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.090 0.142 0.203 0.279 0.390]
Step   34000 (bc17.4)s  | [R_te] min: 3592.58         max: 4029.87        Avg: 3825.13 (42.22)     | [MSE_tr]  0.1604    | w_noise: [0.001 0.001 0.002 0.010 0.030 0.090 0.142 0.203 0.279 0.389]
