Step   47000 (bc5.1)s   | [R_te] min: 288.93          max: 4382.41        Avg: 1924.47 (489.69)    | [MSE_tr]  0.3714   
Step   48000 (bc5.1)s   | [R_te] min: 433.64          max: 4490.21        Avg: 2952.03 (491.18)    | [MSE_tr]  0.3716   
Step   49000 (bc5.1)s   | [R_te] min: 423.05          max: 3591.18        Avg: 1538.45 (318.87)    | [MSE_tr]  0.3708   
Step   50000 (bc5.1)s   | [R_te] min: 284.44          max: 3850.83        Avg: 1567.55 (415.50)    | [MSE_tr]  0.3718   
Step   51000 (bc5.1)s   | [R_te] min: 477.95          max: 4269.47        Avg: 2071.60 (343.11)    | [MSE_tr]  0.3705   
Step   52000 (bc5.1)s   | [R_te] min: 41.90           max: 2541.32        Avg: 1063.90 (245.69)    | [MSE_tr]  0.3713   
Step   53000 (bc5.1)s   | [R_te] min: 341.18          max: 4477.35        Avg: 2887.93 (548.60)    | [MSE_tr]  0.3707   
Step   54000 (bc5.1)s   | [R_te] min: 280.86          max: 4356.73        Avg: 2093.02 (476.14)    | [MSE_tr]  0.3712   
Step   55000 (bc5.1)s   | [R_te] min: 169.93          max: 4332.50        Avg: 2076.09 (493.86)    | [MSE_tr]  0.3709   
Step   56000 (bc5.2)s   | [R_te] min: 201.00          max: 4402.54        Avg: 2473.63 (522.04)    | [MSE_tr]  0.3707   
Step   57000 (bc5.2)s   | [R_te] min: 268.70          max: 3950.01        Avg: 1100.85 (335.08)    | [MSE_tr]  0.3715   
Step   58000 (bc5.1)s   | [R_te] min: 323.09          max: 3961.24        Avg: 2217.94 (472.62)    | [MSE_tr]  0.3717   
Step   59000 (bc5.0)s   | [R_te] min: 4.98            max: 3740.75        Avg: 1271.58 (367.46)    | [MSE_tr]  0.3716   
Step   60000 (bc5.1)s   | [R_te] min: -6.56           max: 4266.08        Avg: 1342.54 (463.51)    | [MSE_tr]  0.3719   
Step   61000 (bc5.0)s   | [R_te] min: 0.44            max: 4483.47        Avg: 2515.38 (580.26)    | [MSE_tr]  0.3710   
Step   62000 (bc5.0)s   | [R_te] min: 373.80          max: 1618.58        Avg: 1049.52 (126.81)    | [MSE_tr]  0.3721   
Step   63000 (bc5.1)s   | [R_te] min: 321.70          max: 4436.65        Avg: 2270.61 (539.24)    | [MSE_tr]  0.3721   
Step   64000 (bc5.2)s   | [R_te] min: 228.38          max: 4335.82        Avg: 1398.58 (457.08)    | [MSE_tr]  0.3725   
Step   65000 (bc5.2)s   | [R_te] min: 2.61            max: 3130.70        Avg: 1313.49 (387.79)    | [MSE_tr]  0.3725   
Step   66000 (bc5.3)s   | [R_te] min: 41.23           max: 1330.41        Avg: 631.48 (107.84)     | [MSE_tr]  0.3725   
Step   67000 (bc5.2)s   | [R_te] min: 5.35            max: 1821.66        Avg: 757.55 (169.89)     | [MSE_tr]  0.3727   
