Step       0 (bc0.0)s   | [R_te] min: 19.96           max: 20.77          Avg: 20.28 (0.07)        | [MSE_tr]  0.5009   
Step   47000 (bc5.3)s   | [R_te] min: 461.16          max: 4609.59        Avg: 4061.67 (382.22)    | [MSE_tr]  0.2138   
Step   48000 (bc5.4)s   | [R_te] min: 356.00          max: 4487.04        Avg: 2562.06 (575.46)    | [MSE_tr]  0.2141   
Step   49000 (bc5.4)s   | [R_te] min: 1037.13         max: 4539.02        Avg: 3456.11 (460.37)    | [MSE_tr]  0.2138   
Step   50000 (bc5.4)s   | [R_te] min: 442.41          max: 4446.09        Avg: 2503.54 (510.50)    | [MSE_tr]  0.2139   
Step   51000 (bc5.4)s   | [R_te] min: 3290.35         max: 4451.58        Avg: 4241.87 (105.35)    | [MSE_tr]  0.2143   
Step   52000 (bc5.4)s   | [R_te] min: 1082.86         max: 4430.40        Avg: 3744.42 (299.21)    | [MSE_tr]  0.2138   
Step   53000 (bc5.4)s   | [R_te] min: 459.90          max: 4473.89        Avg: 2333.85 (505.53)    | [MSE_tr]  0.2140   
Step   54000 (bc5.5)s   | [R_te] min: 376.74          max: 4571.76        Avg: 3324.55 (509.03)    | [MSE_tr]  0.2143   
Step   55000 (bc5.5)s   | [R_te] min: 1356.95         max: 4405.07        Avg: 3686.91 (319.18)    | [MSE_tr]  0.2142   
Step   56000 (bc5.4)s   | [R_te] min: 3636.72         max: 4601.74        Avg: 4344.57 (90.76)     | [MSE_tr]  0.2146   
Step   57000 (bc5.5)s   | [R_te] min: 360.57          max: 4510.68        Avg: 3219.56 (586.46)    | [MSE_tr]  0.2145   
Step   58000 (bc5.5)s   | [R_te] min: 788.06          max: 4552.55        Avg: 3754.36 (447.11)    | [MSE_tr]  0.2146   
Step   59000 (bc5.3)s   | [R_te] min: 432.73          max: 4376.95        Avg: 3577.09 (413.75)    | [MSE_tr]  0.2148   
Step   60000 (bc5.3)s   | [R_te] min: 458.26          max: 4403.71        Avg: 3614.70 (413.86)    | [MSE_tr]  0.2146   
Step   61000 (bc5.2)s   | [R_te] min: 338.77          max: 4311.70        Avg: 2507.56 (381.00)    | [MSE_tr]  0.2149   
Step   62000 (bc5.3)s   | [R_te] min: 351.82          max: 4514.47        Avg: 3543.52 (432.41)    | [MSE_tr]  0.2146   
Step   63000 (bc5.3)s   | [R_te] min: 438.28          max: 4523.87        Avg: 3797.12 (428.22)    | [MSE_tr]  0.2151   
Step   64000 (bc5.5)s   | [R_te] min: 1440.04         max: 4460.00        Avg: 3301.04 (338.11)    | [MSE_tr]  0.2150   
Step   65000 (bc5.4)s   | [R_te] min: 363.78          max: 4557.33        Avg: 3831.71 (386.64)    | [MSE_tr]  0.2149   
Step   66000 (bc5.4)s   | [R_te] min: 473.91          max: 4550.75        Avg: 3556.14 (488.64)    | [MSE_tr]  0.2149   
Step   67000 (bc5.4)s   | [R_te] min: 459.88          max: 4505.66        Avg: 2459.82 (430.96)    | [MSE_tr]  0.2153   
Step   68000 (bc5.4)s   | [R_te] min: 353.08          max: 4312.37        Avg: 1787.22 (491.34)    | [MSE_tr]  0.2158   
Step   69000 (bc5.4)s   | [R_te] min: 371.25          max: 4535.33        Avg: 2531.77 (589.79)    | [MSE_tr]  0.2157   
Step   70000 (bc5.5)s   | [R_te] min: 385.91          max: 4595.82        Avg: 2926.82 (547.49)    | [MSE_tr]  0.2157   
Step   71000 (bc5.5)s   | [R_te] min: 331.06          max: 4526.34        Avg: 3486.17 (503.94)    | [MSE_tr]  0.2158   
Step   72000 (bc5.5)s   | [R_te] min: 463.01          max: 4378.22        Avg: 3636.07 (414.80)    | [MSE_tr]  0.2156   
Step   73000 (bc5.6)s   | [R_te] min: 326.58          max: 4428.77        Avg: 2111.14 (534.84)    | [MSE_tr]  0.2155   
Step   74000 (bc5.5)s   | [R_te] min: 426.05          max: 4572.91        Avg: 2755.86 (525.54)    | [MSE_tr]  0.2159   
Step   75000 (bc5.5)s   | [R_te] min: 320.51          max: 4580.50        Avg: 4052.23 (395.16)    | [MSE_tr]  0.2160   
Step   76000 (bc5.5)s   | [R_te] min: 3139.15         max: 4570.58        Avg: 4315.20 (126.17)    | [MSE_tr]  0.2165   
Step   77000 (bc5.5)s   | [R_te] min: 753.97          max: 4421.67        Avg: 3519.09 (428.96)    | [MSE_tr]  0.2163   
Step   78000 (bc5.5)s   | [R_te] min: 488.22          max: 4591.73        Avg: 3981.00 (371.37)    | [MSE_tr]  0.2163   
Step   79000 (bc5.5)s   | [R_te] min: 384.82          max: 3981.06        Avg: 1735.17 (461.54)    | [MSE_tr]  0.2163   
Step   80000 (bc5.5)s   | [R_te] min: 388.19          max: 4410.32        Avg: 2663.22 (511.29)    | [MSE_tr]  0.2168   
Step   81000 (bc5.4)s   | [R_te] min: 338.04          max: 4273.10        Avg: 1656.88 (516.32)    | [MSE_tr]  0.2163   
Step   82000 (bc5.3)s   | [R_te] min: 359.84          max: 4227.43        Avg: 2912.86 (426.22)    | [MSE_tr]  0.2168   
Step   83000 (bc5.2)s   | [R_te] min: 477.33          max: 4382.88        Avg: 2549.54 (456.27)    | [MSE_tr]  0.2165   
Step   84000 (bc5.3)s   | [R_te] min: 1101.17         max: 4544.47        Avg: 3803.28 (354.80)    | [MSE_tr]  0.2166   
Step   85000 (bc5.3)s   | [R_te] min: 390.13          max: 4579.43        Avg: 3819.13 (374.62)    | [MSE_tr]  0.2166   
Step   86000 (bc5.4)s   | [R_te] min: 417.62          max: 4332.08        Avg: 2119.21 (422.03)    | [MSE_tr]  0.2171   
Step   87000 (bc5.4)s   | [R_te] min: 406.62          max: 4082.68        Avg: 1940.18 (478.60)    | [MSE_tr]  0.2170   
Step   88000 (bc5.4)s   | [R_te] min: 357.07          max: 4223.72        Avg: 2812.73 (466.18)    | [MSE_tr]  0.2174   
Step   89000 (bc5.4)s   | [R_te] min: 337.72          max: 4428.88        Avg: 1496.07 (465.78)    | [MSE_tr]  0.2176   
Step   90000 (bc5.4)s   | [R_te] min: 460.96          max: 4432.38        Avg: 3360.20 (404.72)    | [MSE_tr]  0.2171   
Step   91000 (bc5.5)s   | [R_te] min: 234.85          max: 4505.24        Avg: 2077.67 (477.02)    | [MSE_tr]  0.2172   
Step   92000 (bc5.5)s   | [R_te] min: 346.99          max: 4510.75        Avg: 2674.87 (561.03)    | [MSE_tr]  0.2171   
Step   93000 (bc5.5)s   | [R_te] min: 409.68          max: 4398.61        Avg: 3373.94 (364.11)    | [MSE_tr]  0.2175   
Step   94000 (bc5.5)s   | [R_te] min: 473.89          max: 4357.95        Avg: 2581.90 (534.05)    | [MSE_tr]  0.2177   
Step   95000 (bc5.4)s   | [R_te] min: 452.62          max: 4417.70        Avg: 3440.34 (420.05)    | [MSE_tr]  0.2175   
Step   96000 (bc5.4)s   | [R_te] min: 377.11          max: 4525.90        Avg: 2111.71 (475.85)    | [MSE_tr]  0.2176   
