Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 185.69         max: 202.96         Avg: 194.04 (2.00)       | ent 1.000
Step    1000 (g0.1+d0.5)s         | [D] min: 0.49       max: 1.39      | [R_te] min: 188.56         max: 204.77         Avg: 196.74 (1.70)       | ent 1.000
Step    2000 (g20.6+d7.5)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 162.93         max: 176.13         Avg: 168.66 (1.67)       | ent 0.741
Step    3000 (g20.6+d7.5)s        | [D] min: 0.00       max: 0.10      | [R_te] min: 261.26         max: 283.74         Avg: 273.40 (2.27)       | ent 0.552
Step    4000 (g20.6+d7.5)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 251.33         max: 282.46         Avg: 264.31 (2.93)       | ent 0.416
Step    5000 (g21.2+d7.8)s        | [D] min: 0.00       max: 0.22      | [R_te] min: 238.88         max: 300.04         Avg: 274.29 (5.46)       | ent 0.313
Step    6000 (g20.8+d7.6)s        | [D] min: 0.00       max: 0.13      | [R_te] min: 78.68          max: 125.46         Avg: 109.42 (4.84)       | ent 0.238
Step    7000 (g20.8+d7.6)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 74.73          max: 80.21          Avg: 78.21 (0.71)        | ent 0.182
Step    8000 (g20.8+d7.6)s        | [D] min: 0.00       max: 0.16      | [R_te] min: 70.53          max: 74.89          Avg: 73.73 (0.39)        | ent 0.141
Step    9000 (g20.8+d7.6)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 72.08          max: 79.88          Avg: 75.69 (1.00)        | ent 0.110
Step   10000 (g20.9+d7.7)s        | [D] min: 0.00       max: 0.09      | [R_te] min: 68.84          max: 72.98          Avg: 71.17 (0.50)        | ent 0.087
Step   11000 (g20.9+d7.7)s        | [D] min: 0.00       max: 0.74      | [R_te] min: 301.55         max: 561.69         Avg: 402.40 (23.13)      | ent 0.067
Step   12000 (g20.9+d7.7)s        | [D] min: 0.00       max: 0.10      | [R_te] min: 245.16         max: 312.42         Avg: 273.90 (6.28)       | ent 0.052
Step   13000 (g20.9+d7.7)s        | [D] min: 0.00       max: 0.15      | [R_te] min: 228.89         max: 287.53         Avg: 250.60 (4.72)       | ent 0.041
Step   14000 (g20.9+d7.7)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 202.25         max: 361.85         Avg: 284.28 (16.95)      | ent 0.032
Step   15000 (g20.9+d7.7)s        | [D] min: 0.00       max: 0.13      | [R_te] min: 249.37         max: 422.18         Avg: 322.06 (16.73)      | ent 0.026
Step   16000 (g20.9+d7.7)s        | [D] min: 0.00       max: 0.19      | [R_te] min: 252.95         max: 365.53         Avg: 292.83 (11.32)      | ent 0.022
Step   17000 (g21.0+d7.7)s        | [D] min: 0.00       max: 1.67      | [R_te] min: 216.22         max: 297.16         Avg: 256.01 (9.17)       | ent 0.019
Step   18000 (g20.9+d7.7)s        | [D] min: 0.00       max: 0.22      | [R_te] min: 250.01         max: 315.46         Avg: 289.55 (6.55)       | ent 0.016
Step   19000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.63      | [R_te] min: 299.12         max: 375.81         Avg: 341.94 (6.92)       | ent 0.013
Step   20000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.20      | [R_te] min: 241.66         max: 423.75         Avg: 306.03 (16.93)      | ent 0.011
Step   21000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.14      | [R_te] min: 273.06         max: 533.38         Avg: 360.35 (27.35)      | ent 0.009
Step   22000 (g21.0+d7.7)s        | [D] min: 0.00       max: 0.26      | [R_te] min: 273.03         max: 384.56         Avg: 305.10 (10.32)      | ent 0.008
Step   23000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.29      | [R_te] min: 253.86         max: 855.83         Avg: 529.39 (56.20)      | ent 0.007
Step   24000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.34      | [R_te] min: 295.77         max: 420.15         Avg: 354.62 (14.66)      | ent 0.006
Step   25000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.20      | [R_te] min: 232.79         max: 589.98         Avg: 366.58 (35.54)      | ent 0.005
Step   26000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.25      | [R_te] min: 258.04         max: 458.93         Avg: 338.17 (17.92)      | ent 0.004
Step   27000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 265.36         max: 535.08         Avg: 342.61 (22.19)      | ent 0.003
Step   28000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.10      | [R_te] min: 294.92         max: 425.23         Avg: 343.99 (12.54)      | ent 0.003
Step   29000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.19      | [R_te] min: 196.09         max: 328.24         Avg: 280.49 (12.35)      | ent 0.003
Step   30000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 225.47         max: 387.09         Avg: 281.30 (15.94)      | ent 0.002
Step   31000 (g21.1+d7.8)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 99.45          max: 117.88         Avg: 110.17 (1.88)       | ent 0.002
Step   32000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.17      | [R_te] min: 71.95          max: 77.09          Avg: 73.47 (0.43)        | ent 0.001
Step   33000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.17      | [R_te] min: 70.16          max: 71.21          Avg: 70.91 (0.09)        | ent 0.001
Step   34000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 107.41         max: 121.55         Avg: 112.84 (1.22)       | ent 0.001
Step   35000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.11      | [R_te] min: 114.47         max: 125.62         Avg: 117.94 (1.20)       | ent 0.000
Step   36000 (g21.1+d7.8)s        | [D] min: 0.00       max: 0.21      | [R_te] min: 148.83         max: 190.89         Avg: 171.13 (4.50)       | ent 0.000
Step   37000 (g21.1+d7.8)s        | [D] min: 0.00       max: 0.26      | [R_te] min: 74.98          max: 76.42          Avg: 75.43 (0.13)        | ent 0.000
Step   38000 (g21.1+d7.8)s        | [D] min: 0.00       max: 0.12      | [R_te] min: 62.05          max: 67.27          Avg: 65.10 (0.77)        | ent 0.000
Step   39000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.07      | [R_te] min: 62.00          max: 66.92          Avg: 65.77 (0.59)        | ent 0.000
Step   40000 (g21.0+d7.8)s        | [D] min: 0.00       max: 0.19      | [R_te] min: 64.65          max: 67.22          Avg: 66.40 (0.33)        | ent 0.000
