Step       0 (bc0.0)s   | [R_te] min: 236.21          max: 284.62         Avg: 261.92 (5.69)       | [MSE_tr]  0.4439   
Step    1000 (bc6.6)s   | [R_te] min: 275.62          max: 307.93         Avg: 291.60 (3.01)       | [MSE_tr]  0.3310   
Step    2000 (bc6.6)s   | [R_te] min: 280.31          max: 308.56         Avg: 291.05 (3.43)       | [MSE_tr]  0.3253   
Step    3000 (bc6.6)s   | [R_te] min: 225.23          max: 279.50         Avg: 262.18 (6.36)       | [MSE_tr]  0.3210   
Step    4000 (bc6.7)s   | [R_te] min: 186.36          max: 200.79         Avg: 192.98 (1.48)       | [MSE_tr]  0.3182   
Step    5000 (bc6.6)s   | [R_te] min: 176.56          max: 192.54         Avg: 183.98 (1.30)       | [MSE_tr]  0.3164   
Step    6000 (bc6.6)s   | [R_te] min: 175.52          max: 189.15         Avg: 180.59 (1.29)       | [MSE_tr]  0.3148   
Step    7000 (bc6.6)s   | [R_te] min: 164.67          max: 174.98         Avg: 169.26 (0.98)       | [MSE_tr]  0.3136   
Step    8000 (bc6.6)s   | [R_te] min: 163.99          max: 175.52         Avg: 170.38 (1.20)       | [MSE_tr]  0.3131   
Step    9000 (bc6.7)s   | [R_te] min: 165.18          max: 175.37         Avg: 169.40 (1.02)       | [MSE_tr]  0.3119   
Step   10000 (bc6.5)s   | [R_te] min: 164.63          max: 180.54         Avg: 171.67 (1.20)       | [MSE_tr]  0.3112   
Step   11000 (bc6.5)s   | [R_te] min: 168.99          max: 175.87         Avg: 172.31 (0.83)       | [MSE_tr]  0.3108   
Step   12000 (bc6.4)s   | [R_te] min: 169.95          max: 175.77         Avg: 172.46 (0.65)       | [MSE_tr]  0.3098   
Step   13000 (bc6.4)s   | [R_te] min: 168.98          max: 180.61         Avg: 173.02 (1.16)       | [MSE_tr]  0.3094   
Step   14000 (bc6.4)s   | [R_te] min: 165.21          max: 179.32         Avg: 172.52 (1.24)       | [MSE_tr]  0.3091   
Step   15000 (bc6.5)s   | [R_te] min: 165.31          max: 181.43         Avg: 171.42 (1.27)       | [MSE_tr]  0.3088   
Step   16000 (bc6.4)s   | [R_te] min: 170.59          max: 185.95         Avg: 176.23 (1.33)       | [MSE_tr]  0.3082   
Step   17000 (bc6.5)s   | [R_te] min: 169.99          max: 181.34         Avg: 176.85 (1.20)       | [MSE_tr]  0.3077   
Step   18000 (bc6.4)s   | [R_te] min: 164.47          max: 179.69         Avg: 174.71 (1.26)       | [MSE_tr]  0.3077   
Step   19000 (bc6.5)s   | [R_te] min: 164.34          max: 178.93         Avg: 172.37 (1.43)       | [MSE_tr]  0.3075   
Step   20000 (bc6.5)s   | [R_te] min: 169.88          max: 179.25         Avg: 174.76 (0.87)       | [MSE_tr]  0.3072   
Step   21000 (bc6.6)s   | [R_te] min: 166.21          max: 181.27         Avg: 174.81 (1.25)       | [MSE_tr]  0.3071   
Step   22000 (bc6.5)s   | [R_te] min: 170.06          max: 180.48         Avg: 176.92 (0.97)       | [MSE_tr]  0.3071   
Step   23000 (bc6.5)s   | [R_te] min: 169.88          max: 181.29         Avg: 175.06 (1.11)       | [MSE_tr]  0.3069   
Step   24000 (bc6.5)s   | [R_te] min: 169.12          max: 180.24         Avg: 173.08 (1.14)       | [MSE_tr]  0.3065   
Step   25000 (bc6.5)s   | [R_te] min: 169.89          max: 179.54         Avg: 175.70 (1.03)       | [MSE_tr]  0.3066   
Step   26000 (bc6.5)s   | [R_te] min: 171.46          max: 180.00         Avg: 177.49 (1.00)       | [MSE_tr]  0.3063   
Step   27000 (bc6.8)s   | [R_te] min: 169.46          max: 180.79         Avg: 172.80 (1.11)       | [MSE_tr]  0.3074   
Step   28000 (bc6.5)s   | [R_te] min: 169.93          max: 185.88         Avg: 177.79 (1.43)       | [MSE_tr]  0.3063   
Step   29000 (bc6.5)s   | [R_te] min: 168.94          max: 180.43         Avg: 173.73 (1.08)       | [MSE_tr]  0.3066   
Step   30000 (bc6.5)s   | [R_te] min: 168.76          max: 176.33         Avg: 172.57 (0.85)       | [MSE_tr]  0.3061   
Step   31000 (bc6.6)s   | [R_te] min: 171.27          max: 180.62         Avg: 174.84 (0.78)       | [MSE_tr]  0.3059   
Step   32000 (bc6.5)s   | [R_te] min: 170.49          max: 176.24         Avg: 173.46 (0.61)       | [MSE_tr]  0.3058   
