Step   28000 (bc16.3)s  | [R_te] min: 486.52          max: 1265.98        Avg: 668.13 (90.78)      | [MSE_tr]  0.3515    | w_noise: [0.042 0.049 0.054 0.133 0.255 0.519 0.693 0.790 1.148 1.431]
Step   29000 (bc16.2)s  | [R_te] min: 764.84          max: 3549.73        Avg: 1587.50 (261.82)    | [MSE_tr]  0.3510    | w_noise: [0.042 0.049 0.054 0.133 0.256 0.518 0.690 0.794 1.147 1.436]
Step   30000 (bc16.1)s  | [R_te] min: 446.98          max: 1794.72        Avg: 937.14 (153.17)     | [MSE_tr]  0.3483    | w_noise: [0.042 0.049 0.054 0.133 0.255 0.520 0.687 0.793 1.147 1.426]
Step   31000 (bc16.3)s  | [R_te] min: 447.44          max: 1801.60        Avg: 1006.33 (164.76)    | [MSE_tr]  0.3488    | w_noise: [0.042 0.049 0.054 0.133 0.255 0.521 0.689 0.794 1.151 1.423]
Step   32000 (bc15.9)s  | [R_te] min: 409.95          max: 615.21         Avg: 490.16 (15.57)      | [MSE_tr]  0.3469    | w_noise: [0.042 0.049 0.054 0.134 0.254 0.520 0.690 0.796 1.145 1.420]
Step   33000 (bc16.0)s  | [R_te] min: 423.46          max: 701.26         Avg: 492.59 (22.90)      | [MSE_tr]  0.3464    | w_noise: [0.042 0.049 0.054 0.133 0.254 0.521 0.689 0.794 1.142 1.417]
Step   34000 (bc15.9)s  | [R_te] min: 447.65          max: 716.69         Avg: 525.67 (29.77)      | [MSE_tr]  0.3447    | w_noise: [0.042 0.049 0.054 0.133 0.254 0.519 0.691 0.795 1.140 1.422]
Step   35000 (bc15.9)s  | [R_te] min: 489.38          max: 923.29         Avg: 663.60 (41.54)      | [MSE_tr]  0.3445    | w_noise: [0.042 0.049 0.054 0.133 0.254 0.520 0.691 0.793 1.142 1.429]
Step   36000 (bc15.8)s  | [R_te] min: 447.80          max: 1021.79        Avg: 737.05 (58.51)      | [MSE_tr]  0.3440    | w_noise: [0.042 0.048 0.054 0.133 0.253 0.518 0.693 0.792 1.147 1.434]
Step   37000 (bc15.8)s  | [R_te] min: 468.46          max: 871.87         Avg: 568.95 (39.04)      | [MSE_tr]  0.3417    | w_noise: [0.042 0.048 0.054 0.133 0.254 0.518 0.694 0.794 1.146 1.433]
Step   38000 (bc15.8)s  | [R_te] min: 428.33          max: 534.43         Avg: 482.75 (8.49)       | [MSE_tr]  0.3404    | w_noise: [0.042 0.048 0.054 0.134 0.253 0.519 0.691 0.795 1.149 1.432]
Step   39000 (bc16.2)s  | [R_te] min: 485.96          max: 763.55         Avg: 667.20 (27.04)      | [MSE_tr]  0.3391    | w_noise: [0.042 0.048 0.054 0.134 0.253 0.520 0.692 0.793 1.140 1.429]
Step   40000 (bc15.8)s  | [R_te] min: 445.85          max: 758.94         Avg: 509.35 (27.05)      | [MSE_tr]  0.3394    | w_noise: [0.042 0.048 0.054 0.134 0.252 0.519 0.686 0.791 1.141 1.430]
Step   41000 (bc15.9)s  | [R_te] min: 479.96          max: 675.15         Avg: 545.32 (24.86)      | [MSE_tr]  0.3380    | w_noise: [0.042 0.048 0.054 0.134 0.253 0.517 0.682 0.788 1.144 1.427]
Step   42000 (bc15.7)s  | [R_te] min: 23.81           max: 1016.24        Avg: 576.46 (88.88)      | [MSE_tr]  0.3383    | w_noise: [0.042 0.049 0.054 0.134 0.256 0.518 0.683 0.790 1.151 1.418]
Step   43000 (bc16.0)s  | [R_te] min: 459.24          max: 1061.11        Avg: 599.77 (57.74)      | [MSE_tr]  0.3369    | w_noise: [0.042 0.048 0.054 0.134 0.255 0.519 0.688 0.784 1.145 1.419]
Step   44000 (bc15.8)s  | [R_te] min: 255.03          max: 506.17         Avg: 465.05 (23.50)      | [MSE_tr]  0.3372    | w_noise: [0.042 0.048 0.054 0.134 0.254 0.520 0.685 0.785 1.145 1.421]
