Step       0 (bc0.0)s   | [R_te] min: 19.96           max: 20.77          Avg: 20.28 (0.07)        | [MSE_tr]  0.5009    | w_noise: [0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368 0.368]
Step    1000 (bc15.4)s  | [R_te] min: 271.69          max: 283.86         Avg: 277.21 (1.04)       | [MSE_tr]  0.2725    | w_noise: [0.343 0.343 0.349 0.366 0.393 0.433 0.442 0.449 0.454 0.460]
Step    2000 (bc15.4)s  | [R_te] min: 306.61          max: 457.86         Avg: 333.73 (13.51)      | [MSE_tr]  0.2545    | w_noise: [0.280 0.278 0.290 0.317 0.358 0.448 0.483 0.503 0.525 0.544]
Step    3000 (bc15.4)s  | [R_te] min: 505.97          max: 782.66         Avg: 649.06 (27.77)      | [MSE_tr]  0.2470    | w_noise: [0.223 0.220 0.233 0.262 0.311 0.426 0.488 0.531 0.579 0.617]
Step    4000 (bc15.4)s  | [R_te] min: 492.04          max: 634.72         Avg: 545.09 (17.05)      | [MSE_tr]  0.2424    | w_noise: [0.177 0.174 0.188 0.217 0.267 0.392 0.473 0.536 0.613 0.674]
Step    5000 (bc15.3)s  | [R_te] min: 507.55          max: 904.32         Avg: 665.92 (32.39)      | [MSE_tr]  0.2391    | w_noise: [0.142 0.140 0.153 0.182 0.232 0.360 0.447 0.520 0.630 0.708]
Step    6000 (bc15.3)s  | [R_te] min: 464.70          max: 910.01         Avg: 685.60 (44.53)      | [MSE_tr]  0.2373    | w_noise: [0.116 0.116 0.127 0.156 0.206 0.333 0.423 0.499 0.625 0.725]
Step    7000 (bc15.3)s  | [R_te] min: 446.47          max: 733.95         Avg: 547.43 (34.36)      | [MSE_tr]  0.2367    | w_noise: [0.096 0.097 0.107 0.136 0.187 0.311 0.403 0.477 0.613 0.721]
Step    8000 (bc15.3)s  | [R_te] min: 446.18          max: 687.22         Avg: 542.20 (25.64)      | [MSE_tr]  0.2369    | w_noise: [0.082 0.084 0.092 0.121 0.170 0.296 0.385 0.462 0.598 0.711]
Step    9000 (bc15.2)s  | [R_te] min: 477.48          max: 878.04         Avg: 647.94 (43.03)      | [MSE_tr]  0.2351    | w_noise: [0.071 0.074 0.082 0.110 0.159 0.284 0.372 0.447 0.584 0.701]
Step   10000 (bc15.2)s  | [R_te] min: 479.84          max: 753.67         Avg: 568.25 (35.87)      | [MSE_tr]  0.2331    | w_noise: [0.063 0.067 0.074 0.102 0.150 0.273 0.359 0.436 0.573 0.685]
