Step   28000 (bc17.2)s  | [R_te] min: 427.49          max: 899.45         Avg: 733.03 (46.89)      | [MSE_tr]  0.2223    | w_noise: [0.041 0.047 0.050 0.075 0.118 0.230 0.307 0.382 0.511 0.619]
Step   29000 (bc17.1)s  | [R_te] min: 466.32          max: 3879.50        Avg: 1678.23 (403.83)    | [MSE_tr]  0.2231    | w_noise: [0.041 0.047 0.050 0.076 0.117 0.231 0.310 0.383 0.510 0.615]
Step   30000 (bc17.0)s  | [R_te] min: 423.16          max: 3891.76        Avg: 1282.69 (364.10)    | [MSE_tr]  0.2219    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.231 0.310 0.381 0.509 0.618]
Step   31000 (bc16.8)s  | [R_te] min: 429.95          max: 1001.09        Avg: 743.40 (49.94)      | [MSE_tr]  0.2207    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.232 0.308 0.380 0.510 0.616]
Step   32000 (bc16.4)s  | [R_te] min: 438.19          max: 704.43         Avg: 544.59 (29.03)      | [MSE_tr]  0.2201    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.232 0.308 0.381 0.508 0.614]
Step   33000 (bc16.5)s  | [R_te] min: 445.41          max: 4013.25        Avg: 2674.95 (456.78)    | [MSE_tr]  0.2210    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.231 0.308 0.381 0.507 0.616]
Step   34000 (bc16.6)s  | [R_te] min: 462.35          max: 3830.15        Avg: 1946.74 (386.10)    | [MSE_tr]  0.2198    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.231 0.309 0.382 0.509 0.615]
Step   35000 (bc16.7)s  | [R_te] min: 427.40          max: 2688.71        Avg: 935.76 (195.00)     | [MSE_tr]  0.2190    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.232 0.309 0.381 0.508 0.616]
Step   36000 (bc16.7)s  | [R_te] min: 513.72          max: 3800.76        Avg: 1953.12 (378.58)    | [MSE_tr]  0.2190    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.232 0.310 0.383 0.508 0.616]
Step   37000 (bc16.7)s  | [R_te] min: 508.13          max: 3911.84        Avg: 1926.88 (343.40)    | [MSE_tr]  0.2185    | w_noise: [0.041 0.047 0.050 0.075 0.116 0.232 0.310 0.382 0.509 0.616]
Step   38000 (bc16.7)s  | [R_te] min: 510.80          max: 907.59         Avg: 733.21 (39.47)      | [MSE_tr]  0.2181    | w_noise: [0.041 0.047 0.050 0.075 0.116 0.232 0.309 0.382 0.508 0.615]
Step   39000 (bc17.0)s  | [R_te] min: 445.47          max: 3701.11        Avg: 1237.19 (304.33)    | [MSE_tr]  0.2158    | w_noise: [0.041 0.047 0.049 0.075 0.116 0.232 0.309 0.383 0.511 0.617]
Step   40000 (bc17.2)s  | [R_te] min: 350.96          max: 759.56         Avg: 627.30 (41.16)      | [MSE_tr]  0.2170    | w_noise: [0.041 0.047 0.050 0.075 0.116 0.232 0.309 0.380 0.512 0.617]
Step   41000 (bc16.6)s  | [R_te] min: 477.83          max: 3874.38        Avg: 1922.08 (327.97)    | [MSE_tr]  0.2152    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.231 0.309 0.383 0.509 0.619]
Step   42000 (bc16.5)s  | [R_te] min: 457.31          max: 1295.01        Avg: 938.26 (80.83)      | [MSE_tr]  0.2140    | w_noise: [0.041 0.047 0.050 0.075 0.116 0.231 0.309 0.383 0.510 0.614]
Step   43000 (bc16.5)s  | [R_te] min: 510.47          max: 3986.35        Avg: 2147.15 (402.62)    | [MSE_tr]  0.2155    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.232 0.309 0.381 0.508 0.617]
Step   44000 (bc16.7)s  | [R_te] min: 461.01          max: 3225.65        Avg: 947.56 (245.48)     | [MSE_tr]  0.2154    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.232 0.310 0.381 0.510 0.615]
Step   45000 (bc16.8)s  | [R_te] min: 514.28          max: 3355.02        Avg: 1098.52 (246.48)    | [MSE_tr]  0.2143    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.231 0.310 0.381 0.509 0.617]
Step   46000 (bc16.9)s  | [R_te] min: 483.82          max: 2346.13        Avg: 776.94 (169.80)     | [MSE_tr]  0.2148    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.231 0.309 0.380 0.509 0.618]
Step   47000 (bc17.1)s  | [R_te] min: 345.32          max: 1239.63        Avg: 626.38 (83.06)      | [MSE_tr]  0.2132    | w_noise: [0.041 0.047 0.049 0.075 0.117 0.230 0.310 0.382 0.510 0.613]
Step   48000 (bc17.0)s  | [R_te] min: 513.13          max: 3782.30        Avg: 2259.01 (307.46)    | [MSE_tr]  0.2132    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.232 0.311 0.379 0.508 0.617]
Step   49000 (bc17.0)s  | [R_te] min: 461.36          max: 3910.04        Avg: 2509.31 (469.18)    | [MSE_tr]  0.2114    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.231 0.310 0.380 0.508 0.616]
Step   50000 (bc17.0)s  | [R_te] min: 487.02          max: 3943.04        Avg: 2486.08 (397.90)    | [MSE_tr]  0.2127    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.230 0.310 0.380 0.511 0.613]
Step   51000 (bc16.9)s  | [R_te] min: 493.56          max: 3197.66        Avg: 928.78 (243.04)     | [MSE_tr]  0.2111    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.230 0.310 0.382 0.507 0.613]
Step   52000 (bc17.0)s  | [R_te] min: 468.85          max: 3862.45        Avg: 1326.59 (384.10)    | [MSE_tr]  0.2119    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.230 0.310 0.380 0.507 0.613]
Step   53000 (bc17.0)s  | [R_te] min: 469.56          max: 3590.62        Avg: 1677.13 (337.91)    | [MSE_tr]  0.2102    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.230 0.310 0.381 0.507 0.612]
Step   54000 (bc17.1)s  | [R_te] min: 462.92          max: 1069.96        Avg: 830.63 (51.98)      | [MSE_tr]  0.2098    | w_noise: [0.041 0.047 0.050 0.075 0.117 0.230 0.309 0.379 0.508 0.612]
