Step   28000 (bc16.2)s  | [R_te] min: 554.74          max: 755.88         Avg: 649.25 (20.17)      | [MSE_tr]  0.3528    | w_noise: [0.042 0.049 0.054 0.134 0.255 0.518 0.693 0.793 1.143 1.430]
Step   29000 (bc16.2)s  | [R_te] min: 738.23          max: 1304.13        Avg: 916.36 (60.23)      | [MSE_tr]  0.3520    | w_noise: [0.042 0.049 0.054 0.134 0.255 0.519 0.689 0.790 1.144 1.428]
Step   30000 (bc16.3)s  | [R_te] min: 776.86          max: 1898.31        Avg: 1141.49 (119.84)    | [MSE_tr]  0.3493    | w_noise: [0.042 0.049 0.054 0.134 0.255 0.519 0.690 0.792 1.142 1.419]
Step   31000 (bc16.4)s  | [R_te] min: 507.50          max: 770.50         Avg: 701.29 (26.12)      | [MSE_tr]  0.3486    | w_noise: [0.042 0.048 0.054 0.134 0.256 0.521 0.693 0.791 1.140 1.437]
Step   32000 (bc16.3)s  | [R_te] min: 516.56          max: 672.33         Avg: 621.71 (14.72)      | [MSE_tr]  0.3482    | w_noise: [0.042 0.048 0.054 0.133 0.256 0.523 0.689 0.789 1.143 1.432]
Step   33000 (bc16.4)s  | [R_te] min: 509.16          max: 2342.72        Avg: 851.33 (161.57)     | [MSE_tr]  0.3474    | w_noise: [0.042 0.048 0.054 0.133 0.256 0.521 0.691 0.787 1.137 1.424]
Step   34000 (bc16.4)s  | [R_te] min: 532.78          max: 1345.13        Avg: 767.46 (64.75)      | [MSE_tr]  0.3431    | w_noise: [0.042 0.048 0.054 0.134 0.256 0.522 0.687 0.788 1.151 1.422]
Step   35000 (bc16.4)s  | [R_te] min: 439.99          max: 662.56         Avg: 549.78 (21.82)      | [MSE_tr]  0.3435    | w_noise: [0.042 0.048 0.054 0.135 0.255 0.522 0.691 0.787 1.149 1.423]
Step   36000 (bc16.3)s  | [R_te] min: 480.31          max: 732.62         Avg: 616.65 (24.36)      | [MSE_tr]  0.3433    | w_noise: [0.042 0.049 0.054 0.135 0.254 0.519 0.691 0.785 1.151 1.418]
Step   37000 (bc16.5)s  | [R_te] min: 633.40          max: 751.90         Avg: 683.25 (11.71)      | [MSE_tr]  0.3415    | w_noise: [0.042 0.049 0.054 0.134 0.253 0.522 0.691 0.787 1.144 1.414]
Step   38000 (bc16.7)s  | [R_te] min: 485.33          max: 708.16         Avg: 588.37 (21.91)      | [MSE_tr]  0.3412    | w_noise: [0.042 0.049 0.054 0.134 0.253 0.521 0.689 0.789 1.148 1.416]
Step   39000 (bc16.8)s  | [R_te] min: 484.75          max: 665.41         Avg: 578.20 (18.46)      | [MSE_tr]  0.3406    | w_noise: [0.042 0.049 0.054 0.134 0.253 0.520 0.686 0.786 1.142 1.420]
Step   40000 (bc16.6)s  | [R_te] min: 495.76          max: 1364.96        Avg: 858.03 (67.92)      | [MSE_tr]  0.3397    | w_noise: [0.042 0.049 0.054 0.133 0.254 0.523 0.684 0.786 1.137 1.412]
Step   41000 (bc16.5)s  | [R_te] min: 463.59          max: 767.47         Avg: 646.30 (30.04)      | [MSE_tr]  0.3382    | w_noise: [0.042 0.049 0.054 0.134 0.254 0.519 0.685 0.786 1.143 1.421]
Step   42000 (bc16.5)s  | [R_te] min: 537.19          max: 791.32         Avg: 666.26 (29.55)      | [MSE_tr]  0.3390    | w_noise: [0.042 0.049 0.054 0.133 0.254 0.521 0.688 0.783 1.145 1.416]
Step   43000 (bc16.5)s  | [R_te] min: 617.39          max: 1386.45        Avg: 894.51 (74.91)      | [MSE_tr]  0.3355    | w_noise: [0.042 0.049 0.054 0.133 0.253 0.520 0.690 0.785 1.145 1.422]
Step   44000 (bc16.4)s  | [R_te] min: 303.56          max: 1155.79        Avg: 685.70 (65.39)      | [MSE_tr]  0.3359    | w_noise: [0.042 0.048 0.054 0.133 0.253 0.521 0.690 0.789 1.142 1.421]
Step   45000 (bc16.5)s  | [R_te] min: 512.19          max: 715.05         Avg: 623.20 (17.68)      | [MSE_tr]  0.3354    | w_noise: [0.042 0.048 0.054 0.133 0.255 0.520 0.687 0.785 1.144 1.421]
Step   46000 (bc16.3)s  | [R_te] min: 328.77          max: 769.51         Avg: 568.19 (48.37)      | [MSE_tr]  0.3347    | w_noise: [0.042 0.049 0.054 0.133 0.255 0.522 0.690 0.784 1.141 1.417]
Step   47000 (bc16.2)s  | [R_te] min: 484.51          max: 685.55         Avg: 581.25 (22.60)      | [MSE_tr]  0.3356    | w_noise: [0.042 0.048 0.054 0.134 0.255 0.521 0.687 0.787 1.137 1.419]
Step   48000 (bc16.2)s  | [R_te] min: 434.30          max: 648.84         Avg: 521.52 (21.24)      | [MSE_tr]  0.3336    | w_noise: [0.042 0.049 0.054 0.134 0.253 0.523 0.689 0.787 1.145 1.420]
Step   49000 (bc16.2)s  | [R_te] min: 395.50          max: 1923.97        Avg: 803.28 (169.42)     | [MSE_tr]  0.3323    | w_noise: [0.042 0.048 0.054 0.134 0.254 0.522 0.694 0.784 1.140 1.414]
Step   50000 (bc16.6)s  | [R_te] min: 763.91          max: 1059.87        Avg: 850.29 (24.15)      | [MSE_tr]  0.3339    | w_noise: [0.042 0.049 0.054 0.134 0.254 0.518 0.691 0.780 1.143 1.414]
Step   51000 (bc16.3)s  | [R_te] min: 506.69          max: 1081.94        Avg: 790.41 (68.14)      | [MSE_tr]  0.3308    | w_noise: [0.042 0.049 0.054 0.133 0.253 0.516 0.690 0.787 1.139 1.414]
Step   52000 (bc16.2)s  | [R_te] min: 496.38          max: 1480.66        Avg: 719.66 (87.94)      | [MSE_tr]  0.3308    | w_noise: [0.042 0.049 0.054 0.133 0.253 0.518 0.691 0.788 1.138 1.405]
Step   53000 (bc16.2)s  | [R_te] min: 334.24          max: 844.28         Avg: 686.02 (50.30)      | [MSE_tr]  0.3307    | w_noise: [0.042 0.049 0.054 0.134 0.252 0.519 0.690 0.789 1.138 1.403]
Step   54000 (bc16.4)s  | [R_te] min: 516.29          max: 1010.94        Avg: 754.95 (44.57)      | [MSE_tr]  0.3307    | w_noise: [0.042 0.049 0.054 0.133 0.253 0.518 0.692 0.788 1.139 1.405]
Step   55000 (bc16.6)s  | [R_te] min: 515.16          max: 728.13         Avg: 613.64 (22.25)      | [MSE_tr]  0.3290    | w_noise: [0.042 0.049 0.054 0.133 0.254 0.518 0.692 0.786 1.141 1.416]
Step   56000 (bc16.7)s  | [R_te] min: 309.73          max: 1576.35        Avg: 804.82 (129.30)     | [MSE_tr]  0.3296    | w_noise: [0.042 0.049 0.054 0.133 0.255 0.517 0.694 0.784 1.143 1.419]
Step   57000 (bc16.7)s  | [R_te] min: 497.12          max: 815.12         Avg: 707.46 (35.29)      | [MSE_tr]  0.3283    | w_noise: [0.042 0.049 0.054 0.133 0.255 0.519 0.689 0.792 1.136 1.421]
Step   58000 (bc16.8)s  | [R_te] min: 502.18          max: 1234.59        Avg: 947.24 (68.08)      | [MSE_tr]  0.3285    | w_noise: [0.042 0.049 0.054 0.133 0.255 0.518 0.690 0.788 1.143 1.423]
Step   59000 (bc16.8)s  | [R_te] min: 498.94          max: 1206.83        Avg: 809.11 (59.53)      | [MSE_tr]  0.3281    | w_noise: [0.042 0.049 0.054 0.134 0.255 0.518 0.686 0.791 1.143 1.419]
Step   60000 (bc16.8)s  | [R_te] min: 355.03          max: 1377.47        Avg: 779.56 (89.80)      | [MSE_tr]  0.3262    | w_noise: [0.042 0.049 0.054 0.134 0.254 0.517 0.686 0.785 1.146 1.420]
Step   61000 (bc16.8)s  | [R_te] min: 320.74          max: 788.19         Avg: 589.87 (48.16)      | [MSE_tr]  0.3277    | w_noise: [0.042 0.048 0.054 0.134 0.254 0.520 0.684 0.787 1.143 1.421]
Step   62000 (bc16.5)s  | [R_te] min: 183.72          max: 2650.51        Avg: 999.57 (239.61)     | [MSE_tr]  0.3248    | w_noise: [0.042 0.048 0.054 0.134 0.253 0.517 0.686 0.784 1.142 1.408]
Step   63000 (bc16.5)s  | [R_te] min: 515.11          max: 770.92         Avg: 686.24 (29.05)      | [MSE_tr]  0.3250    | w_noise: [0.042 0.049 0.054 0.134 0.254 0.518 0.690 0.782 1.132 1.420]
Step   64000 (bc16.8)s  | [R_te] min: 522.25          max: 894.64         Avg: 749.21 (32.02)      | [MSE_tr]  0.3241    | w_noise: [0.042 0.048 0.054 0.134 0.254 0.519 0.687 0.783 1.130 1.418]
Step   65000 (bc16.5)s  | [R_te] min: 327.68          max: 831.04         Avg: 642.15 (50.09)      | [MSE_tr]  0.3243    | w_noise: [0.042 0.048 0.054 0.134 0.255 0.519 0.690 0.785 1.133 1.420]
Step   66000 (bc16.5)s  | [R_te] min: 18.04           max: 855.69         Avg: 586.58 (70.27)      | [MSE_tr]  0.3235    | w_noise: [0.042 0.049 0.054 0.134 0.255 0.517 0.690 0.784 1.139 1.432]
Step   67000 (bc16.5)s  | [R_te] min: 584.30          max: 1041.66        Avg: 731.86 (43.42)      | [MSE_tr]  0.3248    | w_noise: [0.042 0.049 0.054 0.134 0.254 0.519 0.691 0.782 1.134 1.429]
Step   68000 (bc16.5)s  | [R_te] min: 307.94          max: 1031.70        Avg: 671.79 (72.15)      | [MSE_tr]  0.3242    | w_noise: [0.042 0.049 0.054 0.133 0.252 0.517 0.690 0.784 1.142 1.426]
Step   69000 (bc16.5)s  | [R_te] min: 324.99          max: 1430.88        Avg: 803.37 (103.61)     | [MSE_tr]  0.3218    | w_noise: [0.042 0.049 0.054 0.133 0.253 0.515 0.687 0.787 1.139 1.425]
Step   70000 (bc16.6)s  | [R_te] min: 315.97          max: 836.81         Avg: 622.79 (52.12)      | [MSE_tr]  0.3221    | w_noise: [0.042 0.049 0.054 0.133 0.254 0.515 0.690 0.787 1.139 1.427]
Step   71000 (bc16.8)s  | [R_te] min: 287.20          max: 1446.72        Avg: 714.49 (135.33)     | [MSE_tr]  0.3211    | w_noise: [0.042 0.048 0.054 0.133 0.255 0.518 0.687 0.785 1.138 1.422]
Step   72000 (bc16.3)s  | [R_te] min: 269.78          max: 758.78         Avg: 510.58 (65.33)      | [MSE_tr]  0.3230    | w_noise: [0.042 0.048 0.054 0.134 0.254 0.516 0.693 0.788 1.144 1.415]
Step   73000 (bc16.5)s  | [R_te] min: 334.82          max: 1012.00        Avg: 741.20 (74.36)      | [MSE_tr]  0.3210    | w_noise: [0.042 0.049 0.054 0.134 0.254 0.520 0.692 0.790 1.142 1.413]
Step   74000 (bc16.7)s  | [R_te] min: 285.07          max: 3948.36        Avg: 899.81 (332.34)     | [MSE_tr]  0.3217    | w_noise: [0.042 0.049 0.054 0.133 0.255 0.519 0.688 0.787 1.143 1.417]
Step   75000 (bc16.6)s  | [R_te] min: 270.68          max: 1855.31        Avg: 624.01 (170.15)     | [MSE_tr]  0.3195    | w_noise: [0.042 0.049 0.054 0.133 0.256 0.516 0.687 0.784 1.137 1.416]
Step   76000 (bc16.3)s  | [R_te] min: 18.89           max: 1329.40        Avg: 607.38 (127.98)     | [MSE_tr]  0.3190    | w_noise: [0.042 0.048 0.054 0.134 0.253 0.518 0.688 0.788 1.141 1.412]
Step   77000 (bc16.7)s  | [R_te] min: 365.02          max: 1439.32        Avg: 758.67 (86.80)      | [MSE_tr]  0.3187    | w_noise: [0.042 0.048 0.054 0.134 0.253 0.518 0.691 0.787 1.142 1.412]
Step   78000 (bc16.8)s  | [R_te] min: 31.30           max: 766.40         Avg: 413.51 (68.07)      | [MSE_tr]  0.3194    | w_noise: [0.042 0.049 0.054 0.134 0.253 0.514 0.690 0.789 1.146 1.414]
