Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] Avg 0: 153.95 (0.00)         1: 141.63 (0.00)         2: 134.82 (0.00)         3: 154.83 (0.00)         4: 153.54 (0.00)         5: 140.36 (0.00)         6: 135.41 (0.00)         7: 142.06 (0.00)         8: 142.38 (0.00)         9: 135.53 (0.00)         | ent 1.000
Step    1000 (g0.0+d0.3)s         | [D] min: 2.21       max: 3.75      | [R_te] Avg 0: 142.28 (0.00)         1: 141.55 (0.00)         2: 142.81 (0.00)         3: 141.69 (0.00)         4: 134.74 (0.00)         5: 134.44 (0.00)         6: 148.38 (0.00)         7: 142.07 (0.00)         8: 142.93 (0.00)         9: 142.30 (0.00)         | ent 1.000
Step    2000 (g22.1+d12.2)s       | [D] min: -0.87      max: 2.90      | [R_te] Avg 0: 157.25 (0.00)         1: 161.75 (0.00)         2: 160.81 (0.00)         3: 159.52 (0.00)         4: 159.89 (0.00)         5: 156.56 (0.00)         6: 160.20 (0.00)         7: 161.93 (0.00)         8: 159.18 (0.00)         9: 155.71 (0.00)         | ent 0.741
Step    3000 (g22.1+d12.3)s       | [D] min: -0.33      max: 1.18      | [R_te] Avg 0: 267.95 (0.00)         1: 261.24 (0.00)         2: 277.53 (0.00)         3: 271.75 (0.00)         4: 272.96 (0.00)         5: 293.56 (0.00)         6: 288.33 (0.00)         7: 287.17 (0.00)         8: 293.62 (0.00)         9: 282.83 (0.00)         | ent 0.553
Step    4000 (g22.2+d12.3)s       | [D] min: -0.29      max: 1.23      | [R_te] Avg 0: 298.64 (0.00)         1: 297.22 (0.00)         2: 291.18 (0.00)         3: 274.71 (0.00)         4: 260.57 (0.00)         5: 271.33 (0.00)         6: 283.32 (0.00)         7: 270.93 (0.00)         8: 280.74 (0.00)         9: 294.72 (0.00)         | ent 0.417
Step    5000 (g22.2+d12.3)s       | [D] min: -0.37      max: 3.25      | [R_te] Avg 0: 370.34 (0.00)         1: 320.83 (0.00)         2: 353.45 (0.00)         3: 428.35 (0.00)         4: 329.21 (0.00)         5: 427.02 (0.00)         6: 351.09 (0.00)         7: 418.17 (0.00)         8: 395.11 (0.00)         9: 330.71 (0.00)         | ent 0.314
Step    6000 (g22.3+d12.4)s       | [D] min: -0.23      max: 2.28      | [R_te] Avg 0: 154.22 (0.00)         1: 132.18 (0.00)         2: 233.44 (0.00)         3: 153.55 (0.00)         4: 203.25 (0.00)         5: 195.79 (0.00)         6: 202.35 (0.00)         7: 214.93 (0.00)         8: 181.98 (0.00)         9: 196.39 (0.00)         | ent 0.238
Step    7000 (g22.3+d12.4)s       | [D] min: -0.37      max: 1.58      | [R_te] Avg 0: 161.54 (0.00)         1: 153.45 (0.00)         2: 156.91 (0.00)         3: 164.57 (0.00)         4: 155.90 (0.00)         5: 157.19 (0.00)         6: 160.47 (0.00)         7: 156.21 (0.00)         8: 154.95 (0.00)         9: 159.50 (0.00)         | ent 0.183
Step    8000 (g22.3+d12.4)s       | [D] min: -0.40      max: 2.10      | [R_te] Avg 0: 171.99 (0.00)         1: 184.53 (0.00)         2: 170.63 (0.00)         3: 174.17 (0.00)         4: 172.29 (0.00)         5: 173.84 (0.00)         6: 173.97 (0.00)         7: 169.71 (0.00)         8: 168.94 (0.00)         9: 171.64 (0.00)         | ent 0.142
Step    9000 (g22.4+d12.5)s       | [D] min: -0.22      max: 2.59      | [R_te] Avg 0: 131.13 (0.00)         1: 141.60 (0.00)         2: 125.74 (0.00)         3: 125.37 (0.00)         4: 127.38 (0.00)         5: 125.87 (0.00)         6: 129.73 (0.00)         7: 124.10 (0.00)         8: 122.10 (0.00)         9: 126.34 (0.00)         | ent 0.111
Step   10000 (g22.4+d12.4)s       | [D] min: -0.35      max: 2.02      | [R_te] Avg 0: 70.96 (0.00)          1: 81.08 (0.00)          2: 80.50 (0.00)          3: 74.88 (0.00)          4: 92.89 (0.00)          5: 77.40 (0.00)          6: 88.34 (0.00)          7: 80.89 (0.00)          8: 71.09 (0.00)          9: 77.46 (0.00)          | ent 0.089
Step   11000 (g22.4+d12.4)s       | [D] min: -0.45      max: 3.84      | [R_te] Avg 0: 352.85 (0.00)         1: 500.47 (0.00)         2: 792.73 (0.00)         3: 574.99 (0.00)         4: 390.74 (0.00)         5: 508.63 (0.00)         6: 363.69 (0.00)         7: 468.88 (0.00)         8: 361.29 (0.00)         9: 344.64 (0.00)         | ent 0.069
Step   12000 (g22.4+d12.4)s       | [D] min: -0.42      max: 1.55      | [R_te] Avg 0: 320.50 (0.00)         1: 293.29 (0.00)         2: 369.71 (0.00)         3: 404.86 (0.00)         4: 347.60 (0.00)         5: 351.71 (0.00)         6: 359.10 (0.00)         7: 327.36 (0.00)         8: 366.63 (0.00)         9: 312.39 (0.00)         | ent 0.054
