Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] Avg 0: 153.95 (0.00)         1: 141.63 (0.00)         2: 134.82 (0.00)         3: 154.83 (0.00)         4: 153.54 (0.00)         5: 140.36 (0.00)         6: 135.41 (0.00)         7: 142.06 (0.00)         8: 142.38 (0.00)         9: 135.53 (0.00)         | ent 1.000
Step    1000 (g0.0+d0.4)s         | [D] min: 2.22       max: 3.76      | [R_te] Avg 0: 142.28 (0.00)         1: 141.55 (0.00)         2: 142.81 (0.00)         3: 141.69 (0.00)         4: 134.74 (0.00)         5: 134.44 (0.00)         6: 148.38 (0.00)         7: 142.07 (0.00)         8: 142.93 (0.00)         9: 142.30 (0.00)         | ent 1.000
Step    2000 (g22.3+d12.3)s       | [D] min: -0.29      max: 3.79      | [R_te] Avg 0: 159.87 (0.00)         1: 159.06 (0.00)         2: 163.03 (0.00)         3: 162.68 (0.00)         4: 162.08 (0.00)         5: 153.22 (0.00)         6: 160.71 (0.00)         7: 159.56 (0.00)         8: 162.21 (0.00)         9: 163.50 (0.00)         | ent 0.741
Step    3000 (g22.4+d12.4)s       | [D] min: -0.16      max: 1.58      | [R_te] Avg 0: 283.09 (0.00)         1: 280.04 (0.00)         2: 293.97 (0.00)         3: 295.69 (0.00)         4: 288.43 (0.00)         5: 317.27 (0.00)         6: 308.09 (0.00)         7: 305.71 (0.00)         8: 317.51 (0.00)         9: 300.71 (0.00)         | ent 0.553
Step    4000 (g22.2+d12.3)s       | [D] min: -0.27      max: 2.90      | [R_te] Avg 0: 355.50 (0.00)         1: 359.51 (0.00)         2: 361.58 (0.00)         3: 339.28 (0.00)         4: 310.01 (0.00)         5: 332.33 (0.00)         6: 343.19 (0.00)         7: 325.37 (0.00)         8: 338.39 (0.00)         9: 362.07 (0.00)         | ent 0.416
Step    5000 (g22.2+d12.3)s       | [D] min: -0.16      max: 2.51      | [R_te] Avg 0: 474.43 (0.00)         1: 387.35 (0.00)         2: 421.76 (0.00)         3: 662.93 (0.00)         4: 409.45 (0.00)         5: 552.93 (0.00)         6: 447.36 (0.00)         7: 953.08 (0.00)         8: 740.89 (0.00)         9: 404.22 (0.00)         | ent 0.314
Step    6000 (g22.3+d12.5)s       | [D] min: -0.80      max: 3.62      | [R_te] Avg 0: 98.01 (0.00)          1: 157.54 (0.00)         2: 174.28 (0.00)         3: 229.48 (0.00)         4: 102.48 (0.00)         5: 246.23 (0.00)         6: 238.24 (0.00)         7: 122.20 (0.00)         8: 288.96 (0.00)         9: 252.60 (0.00)         | ent 0.238
Step    7000 (g22.2+d12.5)s       | [D] min: -0.25      max: 4.33      | [R_te] Avg 0: 81.40 (0.00)          1: 81.69 (0.00)          2: 78.33 (0.00)          3: 82.07 (0.00)          4: 79.85 (0.00)          5: 79.29 (0.00)          6: 78.80 (0.00)          7: 79.80 (0.00)          8: 77.85 (0.00)          9: 79.72 (0.00)          | ent 0.183
Step    8000 (g22.3+d12.5)s       | [D] min: -0.43      max: 2.40      | [R_te] Avg 0: 81.36 (0.00)          1: 85.81 (0.00)          2: 83.01 (0.00)          3: 85.06 (0.00)          4: 83.11 (0.00)          5: 86.41 (0.00)          6: 85.95 (0.00)          7: 83.40 (0.00)          8: 85.64 (0.00)          9: 82.72 (0.00)          | ent 0.142
Step    9000 (g22.4+d12.5)s       | [D] min: -0.58      max: 1.85      | [R_te] Avg 0: 75.78 (0.00)          1: 75.09 (0.00)          2: 76.80 (0.00)          3: 76.18 (0.00)          4: 75.98 (0.00)          5: 75.57 (0.00)          6: 76.17 (0.00)          7: 73.28 (0.00)          8: 77.94 (0.00)          9: 74.61 (0.00)          | ent 0.112
Step   10000 (g22.3+d12.5)s       | [D] min: -0.14      max: 1.93      | [R_te] Avg 0: 78.48 (0.00)          1: 84.11 (0.00)          2: 83.53 (0.00)          3: 80.59 (0.00)          4: 80.03 (0.00)          5: 80.08 (0.00)          6: 82.03 (0.00)          7: 78.68 (0.00)          8: 78.35 (0.00)          9: 77.81 (0.00)          | ent 0.090
Step   11000 (g22.3+d12.5)s       | [D] min: -0.20      max: 2.30      | [R_te] Avg 0: 166.16 (0.00)         1: 122.06 (0.00)         2: 224.91 (0.00)         3: 225.17 (0.00)         4: 213.25 (0.00)         5: 203.72 (0.00)         6: 214.67 (0.00)         7: 215.26 (0.00)         8: 171.96 (0.00)         9: 182.44 (0.00)         | ent 0.070
Step   12000 (g22.4+d12.4)s       | [D] min: -0.16      max: 2.86      | [R_te] Avg 0: 260.26 (0.00)         1: 269.08 (0.00)         2: 248.99 (0.00)         3: 219.50 (0.00)         4: 307.95 (0.00)         5: 225.51 (0.00)         6: 326.64 (0.00)         7: 230.65 (0.00)         8: 217.35 (0.00)         9: 233.59 (0.00)         | ent 0.054
Step   13000 (g22.3+d12.4)s       | [D] min: -0.04      max: 3.02      | [R_te] Avg 0: 186.19 (0.00)         1: 164.21 (0.00)         2: 171.98 (0.00)         3: 149.83 (0.00)         4: 195.58 (0.00)         5: 161.52 (0.00)         6: 164.29 (0.00)         7: 162.13 (0.00)         8: 154.83 (0.00)         9: 179.66 (0.00)         | ent 0.043
Step   14000 (g22.3+d12.4)s       | [D] min: 0.01       max: 3.02      | [R_te] Avg 0: 248.17 (0.00)         1: 250.74 (0.00)         2: 299.19 (0.00)         3: 242.33 (0.00)         4: 306.92 (0.00)         5: 277.22 (0.00)         6: 254.75 (0.00)         7: 279.72 (0.00)         8: 242.04 (0.00)         9: 276.52 (0.00)         | ent 0.034
Step   15000 (g22.3+d12.4)s       | [D] min: -0.88      max: 2.51      | [R_te] Avg 0: 245.69 (0.00)         1: 301.35 (0.00)         2: 234.88 (0.00)         3: 271.30 (0.00)         4: 217.55 (0.00)         5: 274.18 (0.00)         6: 288.49 (0.00)         7: 265.07 (0.00)         8: 249.98 (0.00)         9: 236.42 (0.00)         | ent 0.028
Step   16000 (g22.3+d12.5)s       | [D] min: -0.12      max: 1.88      | [R_te] Avg 0: 170.36 (0.00)         1: 150.42 (0.00)         2: 164.96 (0.00)         3: 200.20 (0.00)         4: 195.05 (0.00)         5: 200.38 (0.00)         6: 170.45 (0.00)         7: 180.16 (0.00)         8: 162.78 (0.00)         9: 166.03 (0.00)         | ent 0.025
Step   17000 (g22.4+d12.4)s       | [D] min: -0.10      max: 1.54      | [R_te] Avg 0: 282.77 (0.00)         1: 256.08 (0.00)         2: 331.17 (0.00)         3: 351.25 (0.00)         4: 330.41 (0.00)         5: 252.37 (0.00)         6: 293.77 (0.00)         7: 304.94 (0.00)         8: 304.99 (0.00)         9: 285.78 (0.00)         | ent 0.022
Step   18000 (g22.3+d12.5)s       | [D] min: -0.18      max: 2.53      | [R_te] Avg 0: 404.57 (0.00)         1: 333.40 (0.00)         2: 378.59 (0.00)         3: 373.95 (0.00)         4: 402.63 (0.00)         5: 405.17 (0.00)         6: 306.50 (0.00)         7: 387.87 (0.00)         8: 337.83 (0.00)         9: 325.40 (0.00)         | ent 0.021
Step   19000 (g22.3+d12.4)s       | [D] min: -0.09      max: 2.55      | [R_te] Avg 0: 299.30 (0.00)         1: 329.92 (0.00)         2: 287.80 (0.00)         3: 284.70 (0.00)         4: 285.98 (0.00)         5: 272.84 (0.00)         6: 241.79 (0.00)         7: 253.91 (0.00)         8: 293.03 (0.00)         9: 323.67 (0.00)         | ent 0.020
Step   20000 (g22.5+d12.5)s       | [D] min: -0.10      max: 2.64      | [R_te] Avg 0: 352.93 (0.00)         1: 396.51 (0.00)         2: 347.75 (0.00)         3: 365.74 (0.00)         4: 296.14 (0.00)         5: 401.22 (0.00)         6: 379.62 (0.00)         7: 374.24 (0.00)         8: 446.39 (0.00)         9: 328.01 (0.00)         | ent 0.018
Step   21000 (g22.5+d12.6)s       | [D] min: -0.07      max: 2.02      | [R_te] Avg 0: 277.05 (0.00)         1: 329.74 (0.00)         2: 338.08 (0.00)         3: 273.01 (0.00)         4: 248.12 (0.00)         5: 247.12 (0.00)         6: 304.01 (0.00)         7: 351.78 (0.00)         8: 264.87 (0.00)         9: 242.76 (0.00)         | ent 0.015
Step   22000 (g22.5+d12.5)s       | [D] min: -0.07      max: 2.59      | [R_te] Avg 0: 417.51 (0.00)         1: 355.39 (0.00)         2: 498.65 (0.00)         3: 400.19 (0.00)         4: 347.79 (0.00)         5: 445.43 (0.00)         6: 359.26 (0.00)         7: 397.91 (0.00)         8: 280.17 (0.00)         9: 350.62 (0.00)         | ent 0.012
Step   23000 (g22.5+d12.8)s       | [D] min: -0.19      max: 1.98      | [R_te] Avg 0: 225.98 (0.00)         1: 267.56 (0.00)         2: 238.34 (0.00)         3: 293.60 (0.00)         4: 274.39 (0.00)         5: 211.23 (0.00)         6: 222.33 (0.00)         7: 234.21 (0.00)         8: 270.74 (0.00)         9: 203.68 (0.00)         | ent 0.010
Step   24000 (g22.7+d12.7)s       | [D] min: -0.22      max: 2.08      | [R_te] Avg 0: 290.53 (0.00)         1: 375.62 (0.00)         2: 462.05 (0.00)         3: 410.05 (0.00)         4: 346.22 (0.00)         5: 387.30 (0.00)         6: 411.88 (0.00)         7: 451.44 (0.00)         8: 417.84 (0.00)         9: 386.07 (0.00)         | ent 0.008
Step   25000 (g22.4+d12.6)s       | [D] min: -0.11      max: 1.74      | [R_te] Avg 0: 390.46 (0.00)         1: 297.93 (0.00)         2: 290.16 (0.00)         3: 367.48 (0.00)         4: 354.28 (0.00)         5: 374.25 (0.00)         6: 377.90 (0.00)         7: 283.90 (0.00)         8: 421.86 (0.00)         9: 273.97 (0.00)         | ent 0.006
Step   26000 (g22.5+d12.7)s       | [D] min: -0.16      max: 1.74      | [R_te] Avg 0: 556.47 (0.00)         1: 328.89 (0.00)         2: 489.55 (0.00)         3: 478.47 (0.00)         4: 366.22 (0.00)         5: 509.51 (0.00)         6: 282.56 (0.00)         7: 417.20 (0.00)         8: 352.47 (0.00)         9: 623.23 (0.00)         | ent 0.005
Step   27000 (g22.3+d12.5)s       | [D] min: 0.04       max: 3.16      | [R_te] Avg 0: 353.75 (0.00)         1: 280.68 (0.00)         2: 438.53 (0.00)         3: 265.04 (0.00)         4: 309.34 (0.00)         5: 351.77 (0.00)         6: 244.72 (0.00)         7: 301.55 (0.00)         8: 330.40 (0.00)         9: 301.57 (0.00)         | ent 0.004
Step   28000 (g22.4+d12.5)s       | [D] min: -0.06      max: 1.80      | [R_te] Avg 0: 367.92 (0.00)         1: 346.62 (0.00)         2: 267.85 (0.00)         3: 280.73 (0.00)         4: 208.50 (0.00)         5: 453.92 (0.00)         6: 413.78 (0.00)         7: 243.27 (0.00)         8: 245.39 (0.00)         9: 238.19 (0.00)         | ent 0.003
Step   29000 (g22.4+d12.5)s       | [D] min: -0.29      max: 1.93      | [R_te] Avg 0: 333.36 (0.00)         1: 329.52 (0.00)         2: 635.59 (0.00)         3: 434.78 (0.00)         4: 365.43 (0.00)         5: 401.91 (0.00)         6: 474.98 (0.00)         7: 401.17 (0.00)         8: 302.16 (0.00)         9: 492.57 (0.00)         | ent 0.002
Step   30000 (g22.4+d12.5)s       | [D] min: -0.37      max: 2.34      | [R_te] Avg 0: 422.66 (0.00)         1: 340.46 (0.00)         2: 364.14 (0.00)         3: 338.64 (0.00)         4: 368.92 (0.00)         5: 279.97 (0.00)         6: 316.20 (0.00)         7: 589.49 (0.00)         8: 391.25 (0.00)         9: 561.55 (0.00)         | ent 0.002
Step   31000 (g22.4+d12.6)s       | [D] min: -0.15      max: 2.53      | [R_te] Avg 0: 365.81 (0.00)         1: 411.63 (0.00)         2: 326.06 (0.00)         3: 319.93 (0.00)         4: 321.88 (0.00)         5: 398.40 (0.00)         6: 357.41 (0.00)         7: 398.11 (0.00)         8: 298.15 (0.00)         9: 379.03 (0.00)         | ent 0.001
Step   32000 (g22.4+d12.5)s       | [D] min: 0.05       max: 1.84      | [R_te] Avg 0: 475.86 (0.00)         1: 432.06 (0.00)         2: 206.03 (0.00)         3: 241.97 (0.00)         4: 323.10 (0.00)         5: 220.00 (0.00)         6: 326.20 (0.00)         7: 247.95 (0.00)         8: 353.52 (0.00)         9: 392.36 (0.00)         | ent 0.001
Step   33000 (g22.4+d12.5)s       | [D] min: -0.06      max: 1.92      | [R_te] Avg 0: 257.83 (0.00)         1: 231.65 (0.00)         2: 249.13 (0.00)         3: 213.28 (0.00)         4: 360.19 (0.00)         5: 257.13 (0.00)         6: 260.45 (0.00)         7: 204.40 (0.00)         8: 250.37 (0.00)         9: 384.41 (0.00)         | ent 0.001
Step   34000 (g22.4+d12.5)s       | [D] min: -0.04      max: 2.75      | [R_te] Avg 0: 266.93 (0.00)         1: 274.11 (0.00)         2: 296.56 (0.00)         3: 223.08 (0.00)         4: 268.57 (0.00)         5: 288.05 (0.00)         6: 255.34 (0.00)         7: 254.49 (0.00)         8: 249.60 (0.00)         9: 303.36 (0.00)         | ent 0.001
Step   35000 (g22.5+d12.6)s       | [D] min: -0.05      max: 2.97      | [R_te] Avg 0: 307.66 (0.00)         1: 342.59 (0.00)         2: 335.06 (0.00)         3: 324.67 (0.00)         4: 310.60 (0.00)         5: 327.42 (0.00)         6: 346.21 (0.00)         7: 327.20 (0.00)         8: 319.34 (0.00)         9: 314.04 (0.00)         | ent 0.001
