Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] Avg 0: 185.24 (0.00)         1: 174.83 (0.00)         2: 191.17 (0.00)         3: 181.14 (0.00)         4: 187.37 (0.00)         5: 178.88 (0.00)         6: 184.67 (0.00)         7: 184.97 (0.00)         8: 187.68 (0.00)         9: 188.72 (0.00)         | ent 1.000
Step    1000 (g0.0+d0.4)s         | [D] min: 1.30       max: 2.78      | [R_te] Avg 0: 179.24 (0.00)         1: 186.47 (0.00)         2: 175.07 (0.00)         3: 176.76 (0.00)         4: 176.12 (0.00)         5: 174.76 (0.00)         6: 184.01 (0.00)         7: 171.68 (0.00)         8: 182.37 (0.00)         9: 184.08 (0.00)         | ent 1.000
Step    2000 (g20.7+d11.4)s       | [D] min: -0.17      max: 1.62      | [R_te] Avg 0: 150.98 (0.00)         1: 140.79 (0.00)         2: 142.41 (0.00)         3: 149.87 (0.00)         4: 146.26 (0.00)         5: 145.95 (0.00)         6: 146.55 (0.00)         7: 141.40 (0.00)         8: 149.21 (0.00)         9: 147.91 (0.00)         | ent 0.741
Step    3000 (g20.8+d11.4)s       | [D] min: -0.71      max: 1.27      | [R_te] Avg 0: 299.10 (0.00)         1: 304.48 (0.00)         2: 291.94 (0.00)         3: 321.77 (0.00)         4: 340.13 (0.00)         5: 314.51 (0.00)         6: 320.51 (0.00)         7: 350.04 (0.00)         8: 312.74 (0.00)         9: 319.10 (0.00)         | ent 0.553
Step    4000 (g20.8+d11.4)s       | [D] min: -0.47      max: 0.78      | [R_te] Avg 0: 463.38 (0.00)         1: 568.85 (0.00)         2: 447.09 (0.00)         3: 463.52 (0.00)         4: 633.48 (0.00)         5: 415.72 (0.00)         6: 433.17 (0.00)         7: 491.93 (0.00)         8: 471.97 (0.00)         9: 408.55 (0.00)         | ent 0.416
Step    5000 (g20.8+d11.5)s       | [D] min: -0.58      max: 4.95      | [R_te] Avg 0: 345.47 (0.00)         1: 450.55 (0.00)         2: 459.19 (0.00)         3: 499.06 (0.00)         4: 377.40 (0.00)         5: 549.70 (0.00)         6: 592.14 (0.00)         7: 431.68 (0.00)         8: 404.30 (0.00)         9: 362.76 (0.00)         | ent 0.314
Step    6000 (g20.8+d11.5)s       | [D] min: -0.63      max: 1.74      | [R_te] Avg 0: 244.95 (0.00)         1: 263.52 (0.00)         2: 257.01 (0.00)         3: 252.16 (0.00)         4: 249.83 (0.00)         5: 260.41 (0.00)         6: 255.50 (0.00)         7: 236.79 (0.00)         8: 395.03 (0.00)         9: 259.26 (0.00)         | ent 0.239
Step    7000 (g20.9+d11.5)s       | [D] min: -0.30      max: 1.60      | [R_te] Avg 0: 219.93 (0.00)         1: 349.65 (0.00)         2: 242.42 (0.00)         3: 257.80 (0.00)         4: 262.96 (0.00)         5: 261.40 (0.00)         6: 278.93 (0.00)         7: 359.69 (0.00)         8: 211.70 (0.00)         9: 267.66 (0.00)         | ent 0.183
Step    8000 (g20.9+d11.5)s       | [D] min: -0.37      max: 2.14      | [R_te] Avg 0: 420.79 (0.00)         1: 339.60 (0.00)         2: 315.67 (0.00)         3: 337.36 (0.00)         4: 302.59 (0.00)         5: 264.30 (0.00)         6: 364.46 (0.00)         7: 425.95 (0.00)         8: 291.35 (0.00)         9: 374.37 (0.00)         | ent 0.142
Step    9000 (g20.9+d11.6)s       | [D] min: -0.32      max: 1.64      | [R_te] Avg 0: 328.78 (0.00)         1: 309.11 (0.00)         2: 436.21 (0.00)         3: 327.25 (0.00)         4: 299.05 (0.00)         5: 388.52 (0.00)         6: 360.16 (0.00)         7: 346.50 (0.00)         8: 395.61 (0.00)         9: 346.98 (0.00)         | ent 0.111
Step   10000 (g20.9+d11.6)s       | [D] min: -0.38      max: 1.53      | [R_te] Avg 0: 173.93 (0.00)         1: 210.09 (0.00)         2: 131.30 (0.00)         3: 222.30 (0.00)         4: 128.45 (0.00)         5: 130.52 (0.00)         6: 234.09 (0.00)         7: 132.01 (0.00)         8: 124.86 (0.00)         9: 118.54 (0.00)         | ent 0.087
Step   11000 (g21.0+d11.6)s       | [D] min: -0.23      max: 2.28      | [R_te] Avg 0: 283.23 (0.00)         1: 295.19 (0.00)         2: 298.15 (0.00)         3: 320.28 (0.00)         4: 327.03 (0.00)         5: 268.85 (0.00)         6: 329.45 (0.00)         7: 330.46 (0.00)         8: 254.57 (0.00)         9: 344.12 (0.00)         | ent 0.068
Step   12000 (g20.9+d11.5)s       | [D] min: -0.24      max: 2.59      | [R_te] Avg 0: 419.60 (0.00)         1: 447.71 (0.00)         2: 352.60 (0.00)         3: 201.51 (0.00)         4: 272.43 (0.00)         5: 353.32 (0.00)         6: 264.20 (0.00)         7: 305.08 (0.00)         8: 299.83 (0.00)         9: 395.09 (0.00)         | ent 0.052
Step   13000 (g20.9+d11.6)s       | [D] min: -0.19      max: 4.07      | [R_te] Avg 0: 322.48 (0.00)         1: 294.24 (0.00)         2: 328.80 (0.00)         3: 304.33 (0.00)         4: 261.05 (0.00)         5: 356.38 (0.00)         6: 305.84 (0.00)         7: 284.13 (0.00)         8: 304.73 (0.00)         9: 293.07 (0.00)         | ent 0.041
Step   14000 (g20.9+d11.5)s       | [D] min: -0.47      max: 1.49      | [R_te] Avg 0: 350.29 (0.00)         1: 358.36 (0.00)         2: 344.70 (0.00)         3: 300.70 (0.00)         4: 261.86 (0.00)         5: 356.16 (0.00)         6: 352.01 (0.00)         7: 300.46 (0.00)         8: 300.59 (0.00)         9: 344.41 (0.00)         | ent 0.032
Step   15000 (g21.0+d11.6)s       | [D] min: -0.74      max: 2.77      | [R_te] Avg 0: 548.56 (0.00)         1: 280.37 (0.00)         2: 315.55 (0.00)         3: 422.65 (0.00)         4: 329.76 (0.00)         5: 505.30 (0.00)         6: 462.85 (0.00)         7: 532.18 (0.00)         8: 261.59 (0.00)         9: 651.54 (0.00)         | ent 0.026
Step   16000 (g21.0+d11.6)s       | [D] min: -0.09      max: 2.06      | [R_te] Avg 0: 388.48 (0.00)         1: 240.79 (0.00)         2: 202.32 (0.00)         3: 320.85 (0.00)         4: 378.33 (0.00)         5: 298.79 (0.00)         6: 243.54 (0.00)         7: 251.26 (0.00)         8: 266.10 (0.00)         9: 211.79 (0.00)         | ent 0.021
Step   17000 (g20.9+d11.6)s       | [D] min: -0.40      max: 1.86      | [R_te] Avg 0: 411.39 (0.00)         1: 388.82 (0.00)         2: 318.30 (0.00)         3: 326.97 (0.00)         4: 341.77 (0.00)         5: 299.83 (0.00)         6: 496.65 (0.00)         7: 360.56 (0.00)         8: 455.58 (0.00)         9: 318.59 (0.00)         | ent 0.017
Step   18000 (g21.0+d11.6)s       | [D] min: -0.11      max: 1.91      | [R_te] Avg 0: 392.21 (0.00)         1: 300.50 (0.00)         2: 284.84 (0.00)         3: 283.13 (0.00)         4: 321.31 (0.00)         5: 281.97 (0.00)         6: 307.24 (0.00)         7: 261.21 (0.00)         8: 336.57 (0.00)         9: 370.83 (0.00)         | ent 0.013
Step   19000 (g21.0+d11.6)s       | [D] min: -0.33      max: 2.52      | [R_te] Avg 0: 332.40 (0.00)         1: 334.76 (0.00)         2: 386.68 (0.00)         3: 316.35 (0.00)         4: 347.88 (0.00)         5: 378.78 (0.00)         6: 385.44 (0.00)         7: 460.27 (0.00)         8: 415.44 (0.00)         9: 543.76 (0.00)         | ent 0.011
Step   20000 (g21.0+d11.6)s       | [D] min: -0.16      max: 1.75      | [R_te] Avg 0: 404.24 (0.00)         1: 407.88 (0.00)         2: 434.36 (0.00)         3: 409.30 (0.00)         4: 449.74 (0.00)         5: 387.14 (0.00)         6: 454.77 (0.00)         7: 305.29 (0.00)         8: 370.22 (0.00)         9: 633.89 (0.00)         | ent 0.010
Step   21000 (g21.0+d11.6)s       | [D] min: -0.45      max: 3.07      | [R_te] Avg 0: 264.02 (0.00)         1: 186.82 (0.00)         2: 330.37 (0.00)         3: 323.90 (0.00)         4: 231.21 (0.00)         5: 319.32 (0.00)         6: 240.31 (0.00)         7: 315.25 (0.00)         8: 309.25 (0.00)         9: 336.40 (0.00)         | ent 0.009
Step   22000 (g21.0+d11.6)s       | [D] min: -0.21      max: 2.73      | [R_te] Avg 0: 366.55 (0.00)         1: 559.77 (0.00)         2: 331.29 (0.00)         3: 257.34 (0.00)         4: 315.49 (0.00)         5: 429.86 (0.00)         6: 418.62 (0.00)         7: 403.06 (0.00)         8: 279.81 (0.00)         9: 374.27 (0.00)         | ent 0.008
Step   23000 (g21.0+d11.6)s       | [D] min: -0.25      max: 1.59      | [R_te] Avg 0: 328.77 (0.00)         1: 440.12 (0.00)         2: 484.22 (0.00)         3: 350.64 (0.00)         4: 291.71 (0.00)         5: 358.05 (0.00)         6: 278.05 (0.00)         7: 278.72 (0.00)         8: 337.91 (0.00)         9: 450.35 (0.00)         | ent 0.007
Step   24000 (g21.0+d11.6)s       | [D] min: -0.46      max: 2.70      | [R_te] Avg 0: 342.90 (0.00)         1: 348.24 (0.00)         2: 310.32 (0.00)         3: 430.31 (0.00)         4: 594.64 (0.00)         5: 594.45 (0.00)         6: 431.65 (0.00)         7: 439.92 (0.00)         8: 329.45 (0.00)         9: 410.99 (0.00)         | ent 0.006
Step   25000 (g21.0+d11.7)s       | [D] min: -0.22      max: 1.75      | [R_te] Avg 0: 344.99 (0.00)         1: 412.80 (0.00)         2: 509.82 (0.00)         3: 409.79 (0.00)         4: 251.01 (0.00)         5: 319.22 (0.00)         6: 267.86 (0.00)         7: 454.31 (0.00)         8: 404.39 (0.00)         9: 380.98 (0.00)         | ent 0.006
Step   26000 (g21.0+d11.6)s       | [D] min: -0.34      max: 2.24      | [R_te] Avg 0: 357.43 (0.00)         1: 266.13 (0.00)         2: 280.21 (0.00)         3: 288.09 (0.00)         4: 279.29 (0.00)         5: 341.63 (0.00)         6: 275.63 (0.00)         7: 297.48 (0.00)         8: 328.97 (0.00)         9: 410.09 (0.00)         | ent 0.005
Step   27000 (g21.0+d11.6)s       | [D] min: -0.36      max: 2.34      | [R_te] Avg 0: 483.52 (0.00)         1: 551.42 (0.00)         2: 537.97 (0.00)         3: 430.81 (0.00)         4: 382.78 (0.00)         5: 403.16 (0.00)         6: 415.82 (0.00)         7: 433.85 (0.00)         8: 499.86 (0.00)         9: 340.45 (0.00)         | ent 0.004
Step   28000 (g21.0+d11.7)s       | [D] min: -0.25      max: 1.70      | [R_te] Avg 0: 311.75 (0.00)         1: 567.90 (0.00)         2: 410.01 (0.00)         3: 463.12 (0.00)         4: 404.96 (0.00)         5: 367.16 (0.00)         6: 392.49 (0.00)         7: 408.04 (0.00)         8: 324.87 (0.00)         9: 377.14 (0.00)         | ent 0.003
Step   29000 (g21.0+d11.7)s       | [D] min: -0.32      max: 2.14      | [R_te] Avg 0: 377.22 (0.00)         1: 349.42 (0.00)         2: 649.34 (0.00)         3: 383.23 (0.00)         4: 401.92 (0.00)         5: 311.32 (0.00)         6: 364.32 (0.00)         7: 463.85 (0.00)         8: 392.47 (0.00)         9: 407.00 (0.00)         | ent 0.003
Step   30000 (g21.5+d11.9)s       | [D] min: -0.28      max: 2.62      | [R_te] Avg 0: 460.58 (0.00)         1: 469.98 (0.00)         2: 534.01 (0.00)         3: 630.80 (0.00)         4: 426.03 (0.00)         5: 434.62 (0.00)         6: 460.02 (0.00)         7: 425.06 (0.00)         8: 387.01 (0.00)         9: 615.90 (0.00)         | ent 0.002
Step   31000 (g21.9+d12.2)s       | [D] min: -0.74      max: 1.75      | [R_te] Avg 0: 313.78 (0.00)         1: 359.18 (0.00)         2: 516.04 (0.00)         3: 385.57 (0.00)         4: 438.12 (0.00)         5: 543.48 (0.00)         6: 410.53 (0.00)         7: 590.71 (0.00)         8: 381.37 (0.00)         9: 433.35 (0.00)         | ent 0.002
