Step   17000 (g23.8+d13.8)s       | [D] min: -0.34      max: 1.76      | [R_te] Avg 0: 337.01 (0.00)         1: 362.83 (0.00)         2: 444.45 (0.00)         3: 340.60 (0.00)         4: 351.00 (0.00)         5: 385.18 (0.00)         6: 307.55 (0.00)         7: 400.44 (0.00)         8: 294.36 (0.00)         9: 483.30 (0.00)         | ent 0.019
Step   18000 (g23.4+d13.7)s       | [D] min: -0.33      max: 2.57      | [R_te] Avg 0: 482.47 (0.00)         1: 444.45 (0.00)         2: 264.36 (0.00)         3: 697.61 (0.00)         4: 248.95 (0.00)         5: 556.29 (0.00)         6: 426.10 (0.00)         7: 362.70 (0.00)         8: 325.36 (0.00)         9: 400.05 (0.00)         | ent 0.016
Step   19000 (g23.6+d13.7)s       | [D] min: -1.24      max: 3.14      | [R_te] Avg 0: 354.93 (0.00)         1: 349.12 (0.00)         2: 362.87 (0.00)         3: 450.18 (0.00)         4: 483.58 (0.00)         5: 470.01 (0.00)         6: 528.42 (0.00)         7: 463.03 (0.00)         8: 479.04 (0.00)         9: 377.72 (0.00)         | ent 0.013
Step   20000 (g23.3+d13.5)s       | [D] min: -0.27      max: 3.52      | [R_te] Avg 0: 308.39 (0.00)         1: 870.87 (0.00)         2: 406.90 (0.00)         3: 355.60 (0.00)         4: 346.51 (0.00)         5: 271.83 (0.00)         6: 421.23 (0.00)         7: 325.48 (0.00)         8: 319.66 (0.00)         9: 379.56 (0.00)         | ent 0.010
Step   21000 (g23.6+d13.6)s       | [D] min: -0.27      max: 2.05      | [R_te] Avg 0: 244.31 (0.00)         1: 273.46 (0.00)         2: 308.42 (0.00)         3: 271.44 (0.00)         4: 296.50 (0.00)         5: 274.50 (0.00)         6: 240.46 (0.00)         7: 236.80 (0.00)         8: 319.44 (0.00)         9: 272.86 (0.00)         | ent 0.008
Step   22000 (g23.8+d13.8)s       | [D] min: -0.41      max: 2.08      | [R_te] Avg 0: 245.72 (0.00)         1: 207.98 (0.00)         2: 214.98 (0.00)         3: 254.77 (0.00)         4: 260.01 (0.00)         5: 220.80 (0.00)         6: 230.98 (0.00)         7: 213.67 (0.00)         8: 233.46 (0.00)         9: 261.29 (0.00)         | ent 0.007
Step   23000 (g23.7+d13.7)s       | [D] min: -0.32      max: 2.16      | [R_te] Avg 0: 568.61 (0.00)         1: 306.97 (0.00)         2: 313.35 (0.00)         3: 340.51 (0.00)         4: 383.11 (0.00)         5: 276.84 (0.00)         6: 350.33 (0.00)         7: 385.51 (0.00)         8: 313.63 (0.00)         9: 275.43 (0.00)         | ent 0.006
Step   24000 (g23.6+d13.6)s       | [D] min: -0.17      max: 1.96      | [R_te] Avg 0: 473.33 (0.00)         1: 229.25 (0.00)         2: 438.36 (0.00)         3: 330.58 (0.00)         4: 188.62 (0.00)         5: 465.90 (0.00)         6: 477.14 (0.00)         7: 276.54 (0.00)         8: 200.44 (0.00)         9: 394.83 (0.00)         | ent 0.005
Step   25000 (g24.2+d13.8)s       | [D] min: -0.15      max: 2.20      | [R_te] Avg 0: 407.54 (0.00)         1: 482.68 (0.00)         2: 340.85 (0.00)         3: 423.61 (0.00)         4: 368.04 (0.00)         5: 438.01 (0.00)         6: 379.67 (0.00)         7: 365.99 (0.00)         8: 547.29 (0.00)         9: 399.28 (0.00)         | ent 0.004
Step   26000 (g23.4+d13.6)s       | [D] min: -0.48      max: 2.02      | [R_te] Avg 0: 284.89 (0.00)         1: 289.34 (0.00)         2: 361.66 (0.00)         3: 330.66 (0.00)         4: 284.56 (0.00)         5: 301.69 (0.00)         6: 273.16 (0.00)         7: 293.82 (0.00)         8: 434.43 (0.00)         9: 244.78 (0.00)         | ent 0.003
