Step       0 (bc0.0)s   | [R_te] min: 991.58          max: 1001.45        Avg: 995.87 (0.81)       | [MSE_tr]  0.2189   
Step    1000 (bc5.2)s   | [R_te] min: 1865.61         max: 2581.59        Avg: 2353.39 (73.61)     | [MSE_tr]  0.1512   
Step    2000 (bc5.2)s   | [R_te] min: 502.46          max: 3079.41        Avg: 1853.05 (227.24)    | [MSE_tr]  0.1482   
Step    3000 (bc5.2)s   | [R_te] min: 783.58          max: 2267.02        Avg: 1723.31 (144.67)    | [MSE_tr]  0.1467   
Step    4000 (bc5.2)s   | [R_te] min: 2132.20         max: 2836.41        Avg: 2443.77 (73.07)     | [MSE_tr]  0.1459   
Step    5000 (bc5.2)s   | [R_te] min: 360.73          max: 3483.52        Avg: 2139.77 (255.18)    | [MSE_tr]  0.1445   
Step    6000 (bc5.2)s   | [R_te] min: 1312.17         max: 3295.04        Avg: 2359.20 (210.72)    | [MSE_tr]  0.1438   
Step    7000 (bc4.9)s   | [R_te] min: 806.88          max: 2719.36        Avg: 1830.75 (191.33)    | [MSE_tr]  0.1431   
Step    8000 (bc5.1)s   | [R_te] min: 978.27          max: 2999.84        Avg: 2380.46 (201.37)    | [MSE_tr]  0.1427   
Step    9000 (bc5.1)s   | [R_te] min: 711.75          max: 2749.94        Avg: 2342.69 (179.01)    | [MSE_tr]  0.1422   
Step   10000 (bc5.1)s   | [R_te] min: 657.79          max: 2563.91        Avg: 1661.38 (193.00)    | [MSE_tr]  0.1419   
Step   11000 (bc5.2)s   | [R_te] min: 2782.89         max: 3493.60        Avg: 3054.17 (68.77)     | [MSE_tr]  0.1418   
Step   12000 (bc5.2)s   | [R_te] min: 1768.51         max: 3724.33        Avg: 3218.48 (174.10)    | [MSE_tr]  0.1414   
Step   13000 (bc5.2)s   | [R_te] min: 1424.79         max: 4095.76        Avg: 2956.83 (257.37)    | [MSE_tr]  0.1412   
Step   14000 (bc5.2)s   | [R_te] min: 735.36          max: 3872.46        Avg: 2524.27 (331.61)    | [MSE_tr]  0.1411   
Step   15000 (bc5.2)s   | [R_te] min: 550.28          max: 3642.12        Avg: 3182.42 (282.92)    | [MSE_tr]  0.1408   
Step   16000 (bc5.2)s   | [R_te] min: 1294.04         max: 3901.60        Avg: 3270.47 (226.41)    | [MSE_tr]  0.1404   
Step   17000 (bc5.0)s   | [R_te] min: 3496.04         max: 4002.59        Avg: 3714.78 (47.65)     | [MSE_tr]  0.1404   
Step   18000 (bc4.9)s   | [R_te] min: 347.62          max: 4051.76        Avg: 3018.84 (414.20)    | [MSE_tr]  0.1405   
Step   19000 (bc4.9)s   | [R_te] min: 579.42          max: 4064.51        Avg: 3349.39 (314.54)    | [MSE_tr]  0.1400   
Step   20000 (bc4.9)s   | [R_te] min: 490.27          max: 4258.56        Avg: 3628.41 (333.84)    | [MSE_tr]  0.1400   
Step   21000 (bc5.1)s   | [R_te] min: 320.38          max: 4196.92        Avg: 2642.15 (457.65)    | [MSE_tr]  0.1398   
Step   22000 (bc5.2)s   | [R_te] min: 485.06          max: 4022.00        Avg: 3495.01 (320.23)    | [MSE_tr]  0.1395   
Step   23000 (bc5.2)s   | [R_te] min: 3777.58         max: 4011.23        Avg: 3894.51 (25.85)     | [MSE_tr]  0.1391   
Step   24000 (bc5.2)s   | [R_te] min: 3658.09         max: 3957.32        Avg: 3806.85 (28.42)     | [MSE_tr]  0.1392   
Step   25000 (bc5.2)s   | [R_te] min: 449.68          max: 4016.82        Avg: 3186.54 (377.96)    | [MSE_tr]  0.1395   
Step   26000 (bc5.2)s   | [R_te] min: 569.17          max: 3764.62        Avg: 2847.51 (349.43)    | [MSE_tr]  0.1391   
Step   27000 (bc5.1)s   | [R_te] min: 384.01          max: 3986.82        Avg: 3174.20 (407.87)    | [MSE_tr]  0.1394   
Step   28000 (bc5.1)s   | [R_te] min: 3520.95         max: 4070.97        Avg: 3850.25 (41.73)     | [MSE_tr]  0.1390   
Step   29000 (bc5.2)s   | [R_te] min: 519.80          max: 4123.83        Avg: 2843.18 (393.31)    | [MSE_tr]  0.1398   
Step   30000 (bc5.2)s   | [R_te] min: 513.71          max: 4174.21        Avg: 3464.90 (325.20)    | [MSE_tr]  0.1393   
Step   31000 (bc5.2)s   | [R_te] min: 132.60          max: 3934.64        Avg: 3301.97 (345.63)    | [MSE_tr]  0.1391   
Step   32000 (bc5.2)s   | [R_te] min: 3264.39         max: 4074.78        Avg: 3774.07 (85.08)     | [MSE_tr]  0.1392   
Step   33000 (bc5.2)s   | [R_te] min: 2936.79         max: 4086.55        Avg: 3682.54 (120.84)    | [MSE_tr]  0.1392   
Step   34000 (bc5.2)s   | [R_te] min: 80.97           max: 4046.01        Avg: 3354.29 (357.58)    | [MSE_tr]  0.1393   
Step   35000 (bc5.2)s   | [R_te] min: 333.20          max: 3989.35        Avg: 3350.17 (326.33)    | [MSE_tr]  0.1393   
Step   36000 (bc5.2)s   | [R_te] min: 491.93          max: 4039.05        Avg: 3224.16 (325.99)    | [MSE_tr]  0.1398   
Step   37000 (bc5.2)s   | [R_te] min: 121.75          max: 4063.95        Avg: 2541.50 (469.29)    | [MSE_tr]  0.1393   
Step   38000 (bc5.2)s   | [R_te] min: 3594.46         max: 4057.43        Avg: 3913.41 (42.74)     | [MSE_tr]  0.1395   
Step   39000 (bc5.2)s   | [R_te] min: 198.90          max: 4084.02        Avg: 3534.72 (353.36)    | [MSE_tr]  0.1392   
Step   40000 (bc5.2)s   | [R_te] min: 2900.00         max: 4129.90        Avg: 3811.47 (107.13)    | [MSE_tr]  0.1390   
Step   41000 (bc5.2)s   | [R_te] min: 1779.51         max: 3923.08        Avg: 3390.25 (201.49)    | [MSE_tr]  0.1394   
Step   42000 (bc5.2)s   | [R_te] min: 3599.78         max: 4071.99        Avg: 3860.02 (46.80)     | [MSE_tr]  0.1393   
Step   43000 (bc5.2)s   | [R_te] min: 1902.22         max: 3901.87        Avg: 3406.56 (182.54)    | [MSE_tr]  0.1394   
Step   44000 (bc5.2)s   | [R_te] min: 3010.59         max: 4147.18        Avg: 3767.46 (91.86)     | [MSE_tr]  0.1398   
Step   45000 (bc5.2)s   | [R_te] min: 3479.81         max: 4233.82        Avg: 3917.00 (72.49)     | [MSE_tr]  0.1395   
Step   46000 (bc5.2)s   | [R_te] min: 174.76          max: 4164.20        Avg: 3379.24 (367.76)    | [MSE_tr]  0.1397   
Step   47000 (bc5.2)s   | [R_te] min: 456.08          max: 4009.55        Avg: 2879.58 (394.82)    | [MSE_tr]  0.1398   
Step   48000 (bc5.2)s   | [R_te] min: 3279.40         max: 3818.90        Avg: 3566.56 (54.81)     | [MSE_tr]  0.1399   
Step   49000 (bc5.2)s   | [R_te] min: 3548.52         max: 4165.82        Avg: 3900.71 (57.79)     | [MSE_tr]  0.1397   
Step   50000 (bc5.1)s   | [R_te] min: 220.79          max: 4078.02        Avg: 3349.91 (386.14)    | [MSE_tr]  0.1399   
Step   51000 (bc5.1)s   | [R_te] min: 2183.03         max: 3862.58        Avg: 3141.86 (160.08)    | [MSE_tr]  0.1398   
Step   52000 (bc5.1)s   | [R_te] min: 3119.95         max: 3975.92        Avg: 3720.91 (72.27)     | [MSE_tr]  0.1396   
Step   53000 (bc5.1)s   | [R_te] min: 3188.29         max: 4037.18        Avg: 3838.96 (81.28)     | [MSE_tr]  0.1399   
Step   54000 (bc5.2)s   | [R_te] min: 625.31          max: 4118.47        Avg: 3433.95 (311.34)    | [MSE_tr]  0.1397   
Step   55000 (bc5.2)s   | [R_te] min: 433.96          max: 4070.20        Avg: 3199.41 (434.80)    | [MSE_tr]  0.1402   
Step   56000 (bc5.2)s   | [R_te] min: 89.67           max: 3946.76        Avg: 2884.25 (436.86)    | [MSE_tr]  0.1400   
Step   57000 (bc5.2)s   | [R_te] min: 419.14          max: 4054.06        Avg: 2857.31 (403.37)    | [MSE_tr]  0.1399   
Step   58000 (bc5.2)s   | [R_te] min: 387.24          max: 4249.72        Avg: 3494.10 (335.49)    | [MSE_tr]  0.1401   
Step   59000 (bc5.2)s   | [R_te] min: 2173.17         max: 4194.34        Avg: 3682.08 (200.86)    | [MSE_tr]  0.1401   
Step   60000 (bc5.0)s   | [R_te] min: 3186.52         max: 3877.39        Avg: 3609.54 (69.52)     | [MSE_tr]  0.1403   
Step   61000 (bc4.8)s   | [R_te] min: 2377.71         max: 4219.58        Avg: 3717.73 (161.41)    | [MSE_tr]  0.1405   
Step   62000 (bc4.8)s   | [R_te] min: 2552.53         max: 3871.62        Avg: 3417.27 (131.28)    | [MSE_tr]  0.1402   
Step   63000 (bc4.8)s   | [R_te] min: 194.95          max: 4040.61        Avg: 3316.92 (340.41)    | [MSE_tr]  0.1401   
Step   64000 (bc4.8)s   | [R_te] min: 714.96          max: 3880.84        Avg: 3167.83 (292.49)    | [MSE_tr]  0.1402   
Step   65000 (bc4.8)s   | [R_te] min: 257.60          max: 4128.55        Avg: 2909.56 (454.65)    | [MSE_tr]  0.1403   
Step   66000 (bc4.8)s   | [R_te] min: 2010.14         max: 3840.90        Avg: 3405.74 (162.78)    | [MSE_tr]  0.1403   
Step   67000 (bc4.8)s   | [R_te] min: 468.67          max: 4017.57        Avg: 2606.26 (381.16)    | [MSE_tr]  0.1403   
