Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.0)s         | [D] min: 2.03       max: 3.05      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000 | w_noise: [0.36798 0.36796 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g21.7+d39.6)s       | [D] min: 0.10       max: 3.29      | [R_te] min: 166.06         max: 172.03         Avg: 170.04 (0.53)       | ent 0.741 | w_noise: [0.37127 0.37474 0.38265 0.42011 0.43729 0.45109 0.45857 0.46026 0.46366 0.46685]
Step    3000 (g22.4+d40.8)s       | [D] min: 0.15       max: 2.44      | [R_te] min: 260.72         max: 294.58         Avg: 281.07 (3.52)       | ent 0.553 | w_noise: [0.27408 0.27781 0.29258 0.36142 0.42580 0.49160 0.52608 0.53679 0.54991 0.56382]
Step    4000 (g22.3+d40.7)s       | [D] min: 0.21       max: 2.56      | [R_te] min: 240.37         max: 276.10         Avg: 258.88 (3.16)       | ent 0.418 | w_noise: [0.19781 0.20195 0.21489 0.28553 0.37931 0.50778 0.58524 0.61311 0.64002 0.66749]
Step    5000 (g22.5+d41.1)s       | [D] min: 0.24       max: 2.28      | [R_te] min: 245.55         max: 276.90         Avg: 257.90 (3.47)       | ent 0.316 | w_noise: [0.14408 0.14752 0.15944 0.22397 0.32777 0.50065 0.62536 0.68204 0.72770 0.77887]
Step    6000 (g22.6+d41.3)s       | [D] min: 0.21       max: 1.98      | [R_te] min: 244.72         max: 277.56         Avg: 262.49 (3.56)       | ent 0.241 | w_noise: [0.10592 0.10887 0.11979 0.18023 0.28555 0.48194 0.64355 0.73401 0.80493 0.88826]
Step    7000 (g22.5+d41.2)s       | [D] min: 0.17       max: 2.73      | [R_te] min: 197.60         max: 236.78         Avg: 218.50 (3.93)       | ent 0.186 | w_noise: [0.07849 0.08130 0.09181 0.15075 0.25711 0.46042 0.64669 0.76391 0.86329 0.98543]
Step    8000 (g22.8+d41.5)s       | [D] min: 0.17       max: 2.41      | [R_te] min: 220.84         max: 286.13         Avg: 249.38 (5.97)       | ent 0.145 | w_noise: [0.05870 0.06160 0.07217 0.13174 0.23840 0.44049 0.63738 0.77684 0.90144 1.06452]
Step    9000 (g22.5+d41.1)s       | [D] min: 0.16       max: 2.94      | [R_te] min: 230.36         max: 396.55         Avg: 317.67 (15.65)      | ent 0.114 | w_noise: [0.04454 0.04740 0.05847 0.12156 0.22846 0.42699 0.62781 0.78190 0.91901 1.11866]
Step   10000 (g22.4+d41.1)s       | [D] min: 0.21       max: 2.55      | [R_te] min: 188.36         max: 246.41         Avg: 202.80 (4.95)       | ent 0.091 | w_noise: [0.03436 0.03712 0.05008 0.11594 0.22271 0.41876 0.62048 0.78013 0.92403 1.15566]
Step   11000 (g22.8+d41.6)s       | [D] min: 0.19       max: 2.48      | [R_te] min: 223.37         max: 289.82         Avg: 255.68 (5.62)       | ent 0.072 | w_noise: [0.02698 0.03012 0.04557 0.11394 0.22072 0.41481 0.61870 0.78013 0.92810 1.17548]
Step   12000 (g22.7+d41.4)s       | [D] min: 0.18       max: 2.75      | [R_te] min: 259.16         max: 415.88         Avg: 340.49 (15.58)      | ent 0.057 | w_noise: [0.02188 0.02572 0.04379 0.11391 0.22094 0.41662 0.61694 0.78128 0.93167 1.18859]
Step   13000 (g22.9+d41.7)s       | [D] min: 0.24       max: 2.80      | [R_te] min: 146.39         max: 332.56         Avg: 230.69 (16.54)      | ent 0.046 | w_noise: [0.01859 0.02342 0.04370 0.11590 0.22391 0.41977 0.61926 0.79000 0.93617 1.20213]
Step   14000 (g22.7+d41.5)s       | [D] min: 0.23       max: 2.77      | [R_te] min: 262.31         max: 361.24         Avg: 303.57 (10.12)      | ent 0.037 | w_noise: [0.01676 0.02257 0.04453 0.11795 0.22749 0.42392 0.62714 0.79529 0.94510 1.21208]
