Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 287.09         max: 324.06         Avg: 307.72 (3.37)       | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.2)s         | [D] min: 1.75       max: 3.36      | [R_te] min: 286.19         max: 325.62         Avg: 309.26 (4.45)       | ent 1.000 | w_noise: [0.36799 0.36795 0.36796 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g21.3+d66.6)s       | [D] min: 0.08       max: 1.48      | [R_te] min: 144.03         max: 152.01         Avg: 149.01 (0.84)       | ent 0.741 | w_noise: [0.37293 0.37743 0.38607 0.42316 0.44076 0.45352 0.46065 0.46122 0.46459 0.46855]
Step    3000 (g21.4+d66.7)s       | [D] min: 0.06       max: 1.80      | [R_te] min: 216.79         max: 246.22         Avg: 228.72 (3.00)       | ent 0.552 | w_noise: [0.27536 0.28135 0.29628 0.36589 0.43071 0.49391 0.52866 0.53990 0.55087 0.56509]
Step    4000 (g21.4+d66.9)s       | [D] min: 0.12       max: 2.41      | [R_te] min: 272.43         max: 322.08         Avg: 291.79 (5.04)       | ent 0.416 | w_noise: [0.19836 0.20381 0.21761 0.28800 0.38238 0.50942 0.58508 0.61508 0.64013 0.67034]
Step    5000 (g21.4+d66.9)s       | [D] min: 0.14       max: 2.04      | [R_te] min: 303.76         max: 358.05         Avg: 328.89 (6.13)       | ent 0.313 | w_noise: [0.14417 0.14885 0.16097 0.22562 0.32906 0.50233 0.62681 0.68240 0.72813 0.78018]
Step    6000 (g21.5+d67.0)s       | [D] min: 0.19       max: 1.88      | [R_te] min: 317.20         max: 530.10         Avg: 401.05 (19.67)      | ent 0.237 | w_noise: [0.10599 0.10973 0.12091 0.18060 0.28628 0.48144 0.64639 0.73271 0.80427 0.88740]
Step    7000 (g21.5+d67.1)s       | [D] min: 0.16       max: 1.85      | [R_te] min: 217.31         max: 458.90         Avg: 298.45 (21.21)      | ent 0.181 | w_noise: [0.07863 0.08179 0.09219 0.15096 0.25677 0.45843 0.64434 0.76244 0.85979 0.98502]
Step    8000 (g21.5+d66.9)s       | [D] min: 0.17       max: 2.49      | [R_te] min: 97.47          max: 114.25         Avg: 105.99 (1.75)       | ent 0.140 | w_noise: [0.05895 0.06180 0.07224 0.13217 0.23841 0.43843 0.63668 0.77427 0.89285 1.06313]
Step    9000 (g21.5+d67.0)s       | [D] min: 0.23       max: 1.75      | [R_te] min: 73.02          max: 79.63          Avg: 77.72 (0.76)        | ent 0.109 | w_noise: [0.04463 0.04751 0.05865 0.12109 0.22749 0.42403 0.62710 0.77628 0.90844 1.11928]
Step   10000 (g21.5+d67.0)s       | [D] min: 0.15       max: 1.94      | [R_te] min: 83.84          max: 93.89          Avg: 88.47 (0.93)        | ent 0.086 | w_noise: [0.03430 0.03725 0.05000 0.11557 0.22153 0.41714 0.61828 0.77559 0.91629 1.15205]
Step   11000 (g21.7+d67.2)s       | [D] min: 0.15       max: 3.05      | [R_te] min: 298.00         max: 464.30         Avg: 382.95 (14.37)      | ent 0.067 | w_noise: [0.02695 0.03028 0.04530 0.11335 0.22057 0.41546 0.61765 0.77741 0.91852 1.17171]
