Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 217.64         max: 458.94         Avg: 294.76 (25.16)      | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.0)s         | [D] min: 1.99       max: 3.19      | [R_te] min: 209.78         max: 401.62         Avg: 280.05 (17.13)      | ent 1.000 | w_noise: [0.36798 0.36799 0.36796 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g21.8+d39.8)s       | [D] min: 0.00       max: 3.56      | [R_te] min: 160.53         max: 168.76         Avg: 165.38 (0.95)       | ent 0.741 | w_noise: [0.34434 0.35088 0.35275 0.37629 0.40474 0.43570 0.44110 0.44856 0.45163 0.45361]
Step    3000 (g21.8+d39.7)s       | [D] min: 0.06       max: 1.39      | [R_te] min: 260.37         max: 300.57         Avg: 285.47 (3.97)       | ent 0.552 | w_noise: [0.24700 0.26104 0.26334 0.28685 0.34505 0.42655 0.45853 0.48584 0.49852 0.51117]
Step    4000 (g21.9+d39.8)s       | [D] min: 0.05       max: 1.60      | [R_te] min: 258.95         max: 301.76         Avg: 280.26 (3.61)       | ent 0.416 | w_noise: [0.17674 0.18969 0.19184 0.21107 0.27210 0.38073 0.44569 0.50214 0.53345 0.56384]
Step    5000 (g21.9+d39.8)s       | [D] min: 0.11       max: 2.85      | [R_te] min: 248.01         max: 275.19         Avg: 259.31 (3.11)       | ent 0.314 | w_noise: [0.12816 0.13832 0.14068 0.15732 0.21534 0.32904 0.41549 0.49662 0.54906 0.60631]
Step    6000 (g21.9+d39.9)s       | [D] min: 0.16       max: 2.31      | [R_te] min: 327.72         max: 483.85         Avg: 395.74 (13.67)      | ent 0.239 | w_noise: [0.09386 0.10239 0.10440 0.11973 0.17412 0.28776 0.38154 0.47669 0.54683 0.62978]
Step    7000 (g21.9+d40.1)s       | [D] min: 0.11       max: 1.88      | [R_te] min: 350.59         max: 523.76         Avg: 409.33 (17.59)      | ent 0.184 | w_noise: [0.06950 0.07628 0.07825 0.09341 0.14667 0.25983 0.35312 0.45097 0.53249 0.63480]
Step    8000 (g21.9+d39.9)s       | [D] min: 0.09       max: 2.06      | [R_te] min: 288.79         max: 659.32         Avg: 397.12 (30.58)      | ent 0.142 | w_noise: [0.05221 0.05758 0.05959 0.07540 0.12963 0.24257 0.33322 0.43160 0.51594 0.62923]
Step    9000 (g21.9+d40.0)s       | [D] min: 0.11       max: 2.51      | [R_te] min: 272.76         max: 353.22         Avg: 315.06 (7.55)       | ent 0.111 | w_noise: [0.03961 0.04391 0.04613 0.06408 0.11995 0.23294 0.32097 0.42041 0.50305 0.61927]
Step   10000 (g22.4+d40.6)s       | [D] min: 0.11       max: 1.86      | [R_te] min: 201.08         max: 273.21         Avg: 232.80 (7.70)       | ent 0.088 | w_noise: [0.03063 0.03405 0.03649 0.05798 0.11504 0.22921 0.31390 0.41334 0.49602 0.61378]
Step   11000 (g22.0+d40.1)s       | [D] min: 0.13       max: 2.08      | [R_te] min: 237.55         max: 298.75         Avg: 259.91 (5.33)       | ent 0.069 | w_noise: [0.02434 0.02715 0.03009 0.05558 0.11307 0.22817 0.31120 0.41066 0.49296 0.61086]
