Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 185.69         max: 202.96         Avg: 194.04 (2.00)       | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.0)s         | [D] min: 2.04       max: 4.02      | [R_te] min: 188.56         max: 204.77         Avg: 196.74 (1.70)       | ent 1.000 | w_noise: [0.36798 0.36795 0.36796 0.36795 0.36798 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g21.8+d68.1)s       | [D] min: 0.02       max: 1.87      | [R_te] min: 263.48         max: 277.67         Avg: 268.45 (1.28)       | ent 0.741 | w_noise: [0.34246 0.34875 0.35010 0.37617 0.40289 0.43601 0.44268 0.44953 0.45148 0.45431]
Step    3000 (g21.9+d68.2)s       | [D] min: 0.00       max: 1.37      | [R_te] min: 252.28         max: 274.14         Avg: 262.07 (2.39)       | ent 0.553 | w_noise: [0.24563 0.25824 0.26173 0.28523 0.34168 0.42479 0.45884 0.48654 0.49907 0.51228]
Step    4000 (g22.0+d68.4)s       | [D] min: 0.09       max: 1.51      | [R_te] min: 245.38         max: 272.34         Avg: 258.57 (2.54)       | ent 0.417 | w_noise: [0.17564 0.18780 0.19054 0.20966 0.27009 0.38006 0.44614 0.50335 0.53425 0.56642]
Step    5000 (g22.0+d68.4)s       | [D] min: 0.12       max: 2.09      | [R_te] min: 285.63         max: 354.05         Avg: 316.05 (5.54)       | ent 0.314 | w_noise: [0.12725 0.13734 0.13957 0.15651 0.21364 0.32838 0.41535 0.49607 0.54988 0.60835]
Step    6000 (g22.0+d68.5)s       | [D] min: 0.11       max: 1.30      | [R_te] min: 99.48          max: 159.38         Avg: 140.01 (8.27)       | ent 0.238 | w_noise: [0.09318 0.10130 0.10370 0.11916 0.17268 0.28716 0.37928 0.47592 0.54690 0.63169]
Step    7000 (g22.0+d68.5)s       | [D] min: 0.15       max: 2.05      | [R_te] min: 158.22         max: 179.23         Avg: 168.99 (2.23)       | ent 0.182 | w_noise: [0.06921 0.07528 0.07785 0.09308 0.14558 0.25966 0.35112 0.45113 0.53386 0.63462]
Step    8000 (g22.1+d68.6)s       | [D] min: 0.12       max: 2.04      | [R_te] min: 166.47         max: 189.86         Avg: 174.86 (2.44)       | ent 0.140 | w_noise: [0.05178 0.05688 0.05903 0.07516 0.12896 0.24216 0.33208 0.43282 0.51773 0.62847]
Step    9000 (g22.1+d68.6)s       | [D] min: 0.17       max: 1.45      | [R_te] min: 79.69          max: 93.96          Avg: 85.06 (1.31)        | ent 0.109 | w_noise: [0.03943 0.04338 0.04564 0.06391 0.11904 0.23325 0.31987 0.41970 0.50467 0.61927]
Step   10000 (g22.1+d68.7)s       | [D] min: 0.05       max: 2.00      | [R_te] min: 72.71          max: 73.12          Avg: 72.93 (0.04)        | ent 0.085 | w_noise: [0.03049 0.03360 0.03623 0.05786 0.11477 0.22888 0.31252 0.41172 0.49713 0.61182]
