Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 185.69         max: 202.96         Avg: 194.04 (2.00)       | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.0)s         | [D] min: 2.28       max: 3.92      | [R_te] min: 188.56         max: 204.77         Avg: 196.74 (1.70)       | ent 1.000 | w_noise: [0.36799 0.36798 0.36798 0.36798 0.36798 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g20.9+d66.5)s       | [D] min: 0.11       max: 2.06      | [R_te] min: 298.13         max: 325.59         Avg: 305.46 (2.33)       | ent 0.741 | w_noise: [0.36951 0.37305 0.38243 0.42111 0.43873 0.45142 0.45880 0.46058 0.46472 0.46665]
Step    3000 (g20.9+d66.7)s       | [D] min: 0.12       max: 2.19      | [R_te] min: 234.53         max: 257.75         Avg: 245.88 (2.31)       | ent 0.553 | w_noise: [0.27341 0.27819 0.29379 0.36266 0.42755 0.49289 0.52666 0.53795 0.55243 0.56306]
Step    4000 (g21.0+d66.7)s       | [D] min: 0.17       max: 2.01      | [R_te] min: 250.61         max: 275.88         Avg: 259.86 (2.96)       | ent 0.417 | w_noise: [0.19723 0.20219 0.21572 0.28600 0.37980 0.51004 0.58485 0.61425 0.64136 0.66913]
Step    5000 (g21.0+d66.7)s       | [D] min: 0.16       max: 2.29      | [R_te] min: 258.27         max: 303.64         Avg: 285.51 (3.90)       | ent 0.315 | w_noise: [0.14352 0.14717 0.15994 0.22405 0.32702 0.50305 0.62711 0.68105 0.73007 0.78026]
Step    6000 (g21.0+d66.8)s       | [D] min: 0.17       max: 1.45      | [R_te] min: 288.87         max: 540.64         Avg: 358.45 (25.49)      | ent 0.239 | w_noise: [0.10514 0.10881 0.12015 0.17967 0.28540 0.48362 0.64575 0.73176 0.80608 0.88770]
Step    7000 (g21.0+d66.9)s       | [D] min: 0.21       max: 2.21      | [R_te] min: 214.46         max: 376.59         Avg: 268.34 (15.31)      | ent 0.183 | w_noise: [0.07814 0.08114 0.09172 0.15018 0.25587 0.45981 0.64634 0.76383 0.86261 0.98395]
Step    8000 (g21.0+d66.8)s       | [D] min: 0.18       max: 2.65      | [R_te] min: 72.98          max: 77.24          Avg: 75.21 (0.49)        | ent 0.141 | w_noise: [0.05833 0.06152 0.07194 0.13149 0.23790 0.44031 0.63719 0.77598 0.89846 1.05904]
Step    9000 (g21.0+d66.9)s       | [D] min: 0.17       max: 1.77      | [R_te] min: 80.67          max: 94.78          Avg: 88.07 (1.30)        | ent 0.110 | w_noise: [0.04424 0.04711 0.05850 0.12108 0.22705 0.42768 0.62512 0.77664 0.91246 1.11439]
Step   10000 (g21.1+d67.0)s       | [D] min: 0.23       max: 1.59      | [R_te] min: 78.36          max: 90.17          Avg: 84.32 (1.46)        | ent 0.086 | w_noise: [0.03412 0.03702 0.04981 0.11551 0.22174 0.41974 0.61798 0.77756 0.91776 1.14994]
Step   11000 (g21.2+d67.0)s       | [D] min: 0.19       max: 3.37      | [R_te] min: 169.71         max: 330.52         Avg: 266.03 (17.59)      | ent 0.067 | w_noise: [0.02683 0.03006 0.04509 0.11324 0.21980 0.41512 0.61213 0.77664 0.92035 1.17169]
Step   12000 (g21.2+d67.0)s       | [D] min: 0.15       max: 3.16      | [R_te] min: 165.74         max: 300.53         Avg: 231.55 (13.21)      | ent 0.052 | w_noise: [0.02176 0.02566 0.04347 0.11366 0.22075 0.41506 0.61481 0.77687 0.92728 1.18485]
Step   13000 (g21.2+d67.1)s       | [D] min: 0.16       max: 1.90      | [R_te] min: 220.65         max: 340.20         Avg: 295.56 (11.85)      | ent 0.041 | w_noise: [0.01859 0.02333 0.04344 0.11502 0.22376 0.41870 0.61837 0.78511 0.93087 1.19352]
Step   14000 (g21.2+d67.0)s       | [D] min: 0.13       max: 1.85      | [R_te] min: 267.22         max: 376.82         Avg: 314.45 (10.08)      | ent 0.032 | w_noise: [0.01680 0.02263 0.04437 0.11766 0.22708 0.42384 0.62304 0.78980 0.93924 1.21010]
Step   15000 (g21.1+d67.0)s       | [D] min: 0.05       max: 1.71      | [R_te] min: 163.66         max: 240.77         Avg: 179.71 (6.86)       | ent 0.026 | w_noise: [0.01597 0.02257 0.04546 0.12012 0.23181 0.43014 0.63144 0.79916 0.95110 1.22420]
Step   16000 (g21.2+d67.0)s       | [D] min: 0.15       max: 1.59      | [R_te] min: 272.00         max: 361.88         Avg: 310.17 (9.08)       | ent 0.022 | w_noise: [0.01592 0.02328 0.04714 0.12410 0.23704 0.43821 0.64150 0.80943 0.96543 1.23423]
