Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 287.09         max: 324.06         Avg: 307.72 (3.37)       | ent 1.000 | w_noise: [0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788 0.36788]
Step    1000 (g0.0+d0.0)s         | [D] min: 1.88       max: 3.34      | [R_te] min: 286.19         max: 325.62         Avg: 309.26 (4.45)       | ent 1.000 | w_noise: [0.36796 0.36794 0.36793 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799 0.36799]
Step    2000 (g20.8+d37.7)s       | [D] min: 0.11       max: 1.86      | [R_te] min: 137.12         max: 146.97         Avg: 143.66 (0.98)       | ent 0.741 | w_noise: [0.34179 0.34540 0.34907 0.37398 0.40231 0.43493 0.44176 0.44962 0.45094 0.45397]
Step    3000 (g20.8+d37.7)s       | [D] min: 0.05       max: 2.29      | [R_te] min: 217.04         max: 240.66         Avg: 227.77 (2.49)       | ent 0.553 | w_noise: [0.24448 0.25689 0.26017 0.28371 0.34143 0.42554 0.45831 0.48666 0.49805 0.51342]
Step    4000 (g21.0+d38.0)s       | [D] min: 0.07       max: 1.42      | [R_te] min: 277.46         max: 327.14         Avg: 298.19 (4.98)       | ent 0.415 | w_noise: [0.17537 0.18640 0.19004 0.20968 0.26939 0.37955 0.44551 0.50420 0.53339 0.56738]
Step    5000 (g20.8+d37.8)s       | [D] min: 0.07       max: 3.13      | [R_te] min: 269.62         max: 305.39         Avg: 284.59 (4.08)       | ent 0.313 | w_noise: [0.12710 0.13627 0.13937 0.15599 0.21347 0.32825 0.41445 0.49892 0.54901 0.60848]
Step    6000 (g20.9+d37.8)s       | [D] min: 0.13       max: 1.79      | [R_te] min: 235.80         max: 275.86         Avg: 252.47 (4.37)       | ent 0.237 | w_noise: [0.09302 0.10086 0.10328 0.11879 0.17295 0.28720 0.38059 0.47742 0.54755 0.63112]
Step    7000 (g20.9+d38.0)s       | [D] min: 0.14       max: 1.92      | [R_te] min: 160.91         max: 212.65         Avg: 184.23 (5.88)       | ent 0.181 | w_noise: [0.06902 0.07500 0.07743 0.09258 0.14573 0.25928 0.35386 0.45200 0.53122 0.63535]
Step    8000 (g20.9+d37.9)s       | [D] min: 0.11       max: 1.78      | [R_te] min: 125.04         max: 230.95         Avg: 204.41 (9.09)       | ent 0.139 | w_noise: [0.05177 0.05647 0.05878 0.07494 0.12872 0.24264 0.33288 0.43258 0.51531 0.62831]
Step    9000 (g21.0+d38.0)s       | [D] min: 0.04       max: 1.23      | [R_te] min: 109.23         max: 135.55         Avg: 126.79 (2.70)       | ent 0.108 | w_noise: [0.03936 0.04307 0.04547 0.06374 0.11911 0.23315 0.32033 0.41790 0.50319 0.62083]
Step   10000 (g20.9+d37.9)s       | [D] min: 0.11       max: 2.15      | [R_te] min: 91.72          max: 99.09          Avg: 94.91 (0.81)        | ent 0.085 | w_noise: [0.03039 0.03344 0.03612 0.05767 0.11446 0.22883 0.31359 0.41118 0.49515 0.61454]
