Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 185.69         max: 202.96         Avg: 194.04 (2.00)       | ent 1.000
Step    1000 (g0.0+d0.6)s         | [D] min: 0.69       max: 0.77      | [R_te] min: 188.56         max: 204.77         Avg: 196.74 (1.70)       | ent 1.000
Step    2000 (g21.7+d12.1)s       | [D] min: 0.00       max: 0.31      | [R_te] min: 167.36         max: 175.39         Avg: 171.91 (0.94)       | ent 0.741
Step    3000 (g21.5+d12.0)s       | [D] min: 0.00       max: 0.13      | [R_te] min: 260.31         max: 281.86         Avg: 271.44 (2.35)       | ent 0.553
Step    4000 (g21.5+d12.1)s       | [D] min: 0.00       max: 0.13      | [R_te] min: 258.91         max: 287.45         Avg: 272.20 (2.98)       | ent 0.416
Step    5000 (g21.5+d12.0)s       | [D] min: 0.00       max: 0.19      | [R_te] min: 197.39         max: 219.64         Avg: 207.25 (2.25)       | ent 0.313
Step    6000 (g21.4+d12.2)s       | [D] min: 0.00       max: 0.10      | [R_te] min: 73.64          max: 76.11          Avg: 75.21 (0.30)        | ent 0.237
Step    7000 (g21.7+d12.2)s       | [D] min: 0.00       max: 0.16      | [R_te] min: 73.87          max: 78.62          Avg: 76.59 (0.55)        | ent 0.182
Step    8000 (g21.5+d12.1)s       | [D] min: 0.00       max: 0.12      | [R_te] min: 73.07          max: 73.32          Avg: 73.20 (0.02)        | ent 0.140
Step    9000 (g21.5+d12.1)s       | [D] min: 0.00       max: 1.68      | [R_te] min: 72.89          max: 73.26          Avg: 73.05 (0.04)        | ent 0.108
Step   10000 (g21.5+d12.2)s       | [D] min: 0.00       max: 0.08      | [R_te] min: 67.90          max: 73.05          Avg: 69.57 (0.71)        | ent 0.085
Step   11000 (g21.5+d12.2)s       | [D] min: 0.00       max: 1.47      | [R_te] min: 259.78         max: 422.45         Avg: 341.60 (18.99)      | ent 0.066
Step   12000 (g21.5+d12.1)s       | [D] min: 0.00       max: 0.18      | [R_te] min: 269.96         max: 374.07         Avg: 327.27 (8.94)       | ent 0.051
Step   13000 (g21.9+d12.2)s       | [D] min: 0.00       max: 0.20      | [R_te] min: 227.16         max: 382.66         Avg: 280.83 (14.94)      | ent 0.039
Step   14000 (g21.5+d12.1)s       | [D] min: 0.00       max: 0.26      | [R_te] min: 312.03         max: 407.19         Avg: 362.58 (8.32)       | ent 0.031
Step   15000 (g21.8+d12.3)s       | [D] min: 0.00       max: 0.27      | [R_te] min: 230.78         max: 347.40         Avg: 286.39 (9.51)       | ent 0.025
Step   16000 (g21.9+d12.3)s       | [D] min: 0.00       max: 0.23      | [R_te] min: 259.40         max: 311.11         Avg: 293.87 (4.44)       | ent 0.020
Step   17000 (g21.6+d12.3)s       | [D] min: 0.00       max: 0.24      | [R_te] min: 280.83         max: 412.23         Avg: 321.89 (12.09)      | ent 0.016
Step   18000 (g21.6+d12.3)s       | [D] min: 0.00       max: 0.58      | [R_te] min: 249.60         max: 380.93         Avg: 309.18 (13.24)      | ent 0.012
Step   19000 (g21.6+d12.4)s       | [D] min: 0.00       max: 0.10      | [R_te] min: 221.40         max: 415.68         Avg: 302.19 (15.91)      | ent 0.010
Step   20000 (g21.5+d12.3)s       | [D] min: 0.00       max: 0.12      | [R_te] min: 219.97         max: 285.91         Avg: 248.23 (6.72)       | ent 0.008
Step   21000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.27      | [R_te] min: 264.58         max: 388.93         Avg: 337.83 (11.18)      | ent 0.006
Step   22000 (g22.1+d12.4)s       | [D] min: 0.00       max: 0.09      | [R_te] min: 188.57         max: 400.86         Avg: 291.57 (16.38)      | ent 0.005
Step   23000 (g21.6+d12.3)s       | [D] min: 0.00       max: 0.13      | [R_te] min: 204.91         max: 436.21         Avg: 269.02 (22.94)      | ent 0.004
Step   24000 (g21.8+d12.4)s       | [D] min: 0.00       max: 0.11      | [R_te] min: 183.80         max: 241.65         Avg: 208.50 (5.05)       | ent 0.003
Step   25000 (g21.8+d12.4)s       | [D] min: 0.00       max: 0.13      | [R_te] min: 146.31         max: 377.10         Avg: 251.86 (17.86)      | ent 0.003
Step   26000 (g21.9+d12.4)s       | [D] min: 0.00       max: 0.14      | [R_te] min: 174.43         max: 302.39         Avg: 232.80 (13.45)      | ent 0.002
Step   27000 (g21.8+d12.4)s       | [D] min: 0.00       max: 0.15      | [R_te] min: 138.65         max: 310.26         Avg: 227.14 (20.17)      | ent 0.001
Step   28000 (g22.1+d12.5)s       | [D] min: 0.00       max: 0.16      | [R_te] min: 158.72         max: 313.53         Avg: 226.14 (16.00)      | ent 0.001
Step   29000 (g21.6+d12.3)s       | [D] min: 0.00       max: 0.39      | [R_te] min: 134.09         max: 378.28         Avg: 207.93 (20.66)      | ent 0.001
