Step       0 (g0.0+d0.0)s         | [D] min: 0.00       max: 0.00      | [R_te] min: 206.99         max: 243.28         Avg: 222.12 (4.26)       | ent 1.000
Step    1000 (g0.0+d0.4)s         | [D] min: 0.69       max: 0.77      | [R_te] min: 206.82         max: 249.86         Avg: 225.32 (4.30)       | ent 1.000
Step    2000 (g21.3+d11.7)s       | [D] min: 0.03       max: 0.36      | [R_te] min: 302.49         max: 399.94         Avg: 335.73 (9.76)       | ent 0.741
Step    3000 (g21.4+d11.7)s       | [D] min: 0.00       max: 0.88      | [R_te] min: 249.13         max: 284.66         Avg: 265.82 (3.59)       | ent 0.551
Step    4000 (g21.4+d11.8)s       | [D] min: 0.00       max: 0.29      | [R_te] min: 290.43         max: 348.26         Avg: 313.28 (5.67)       | ent 0.413
Step    5000 (g21.5+d11.8)s       | [D] min: 0.00       max: 0.21      | [R_te] min: 299.39         max: 569.37         Avg: 437.78 (24.54)      | ent 0.312
Step    6000 (g21.5+d11.8)s       | [D] min: 0.00       max: 0.16      | [R_te] min: 230.52         max: 745.82         Avg: 457.44 (43.29)      | ent 0.237
Step    7000 (g21.5+d11.8)s       | [D] min: 0.00       max: 0.11      | [R_te] min: 68.27          max: 73.13          Avg: 68.92 (0.44)        | ent 0.181
Step    8000 (g21.5+d11.9)s       | [D] min: 0.00       max: 0.85      | [R_te] min: 68.15          max: 73.25          Avg: 69.22 (0.63)        | ent 0.140
Step    9000 (g21.6+d11.9)s       | [D] min: 0.00       max: 0.50      | [R_te] min: 68.00          max: 73.14          Avg: 70.55 (0.78)        | ent 0.108
Step   10000 (g21.5+d11.9)s       | [D] min: 0.00       max: 0.21      | [R_te] min: 67.74          max: 68.08          Avg: 67.89 (0.03)        | ent 0.085
Step   11000 (g21.6+d11.9)s       | [D] min: 0.00       max: 0.37      | [R_te] min: 340.50         max: 594.18         Avg: 457.49 (26.14)      | ent 0.065
Step   12000 (g21.6+d11.9)s       | [D] min: 0.00       max: 0.44      | [R_te] min: 264.36         max: 336.73         Avg: 298.81 (6.56)       | ent 0.050
Step   13000 (g21.6+d11.9)s       | [D] min: 0.00       max: 0.72      | [R_te] min: 243.67         max: 321.57         Avg: 285.43 (7.71)       | ent 0.039
Step   14000 (g21.6+d11.9)s       | [D] min: 0.00       max: 0.21      | [R_te] min: 215.75         max: 256.66         Avg: 233.71 (4.00)       | ent 0.030
Step   15000 (g21.6+d11.9)s       | [D] min: 0.00       max: 0.69      | [R_te] min: 199.24         max: 250.21         Avg: 225.09 (5.01)       | ent 0.025
Step   16000 (g21.7+d11.9)s       | [D] min: 0.00       max: 0.35      | [R_te] min: 223.39         max: 261.67         Avg: 246.41 (3.97)       | ent 0.021
Step   17000 (g21.7+d12.0)s       | [D] min: 0.00       max: 0.31      | [R_te] min: 186.03         max: 267.66         Avg: 214.16 (8.05)       | ent 0.018
