Step       0 (bc0.0)s   | [R_te] min: -2.34           max: 1.29           Avg: -0.04 (0.28)        | [MSE_tr]  0.4200   
Step   46000 (bc5.1)s   | [R_te] min: 3341.91         max: 3384.72        Avg: 3364.53 (4.76)      | [MSE_tr]  0.1980   
Step   47000 (bc5.1)s   | [R_te] min: 3405.19         max: 3498.72        Avg: 3468.95 (9.47)      | [MSE_tr]  0.1977   
Step   48000 (bc5.1)s   | [R_te] min: 3415.94         max: 3481.69        Avg: 3460.69 (5.91)      | [MSE_tr]  0.1983   
Step   49000 (bc5.1)s   | [R_te] min: 3322.77         max: 3445.51        Avg: 3392.80 (11.89)     | [MSE_tr]  0.1981   
Step   50000 (bc5.1)s   | [R_te] min: 3364.26         max: 3436.43        Avg: 3401.65 (6.69)      | [MSE_tr]  0.1985   
Step   51000 (bc5.0)s   | [R_te] min: 3381.90         max: 3477.43        Avg: 3442.44 (8.67)      | [MSE_tr]  0.1984   
Step   52000 (bc5.1)s   | [R_te] min: 3335.96         max: 3391.08        Avg: 3368.82 (5.20)      | [MSE_tr]  0.1987   
Step   53000 (bc5.0)s   | [R_te] min: 3389.14         max: 3419.27        Avg: 3404.14 (2.92)      | [MSE_tr]  0.1986   
Step   54000 (bc5.1)s   | [R_te] min: 3395.92         max: 3468.48        Avg: 3425.92 (6.87)      | [MSE_tr]  0.1989   
Step   55000 (bc5.0)s   | [R_te] min: 3423.90         max: 3510.86        Avg: 3483.42 (9.23)      | [MSE_tr]  0.1993   
Step   56000 (bc5.1)s   | [R_te] min: 3430.11         max: 3513.31        Avg: 3487.75 (7.02)      | [MSE_tr]  0.1991   
Step   57000 (bc5.1)s   | [R_te] min: 3414.96         max: 3451.50        Avg: 3431.73 (3.95)      | [MSE_tr]  0.1993   
Step   58000 (bc5.1)s   | [R_te] min: 3299.52         max: 3454.24        Avg: 3408.18 (13.83)     | [MSE_tr]  0.1992   
Step   59000 (bc5.1)s   | [R_te] min: 3395.16         max: 3451.73        Avg: 3417.67 (5.27)      | [MSE_tr]  0.1996   
