Step   28000 (bc23.0)s  | [R_te] min: 346.09          max: 371.40         Avg: 359.74 (2.73)       | [MSE_tr]  0.3819    | w_noise: [0.362 0.366 0.373 0.423 0.515 0.707 0.835 0.992 1.113 1.282]
Step   29000 (bc23.0)s  | [R_te] min: 343.29          max: 371.56         Avg: 359.64 (2.76)       | [MSE_tr]  0.3822    | w_noise: [0.361 0.367 0.374 0.423 0.514 0.707 0.835 0.989 1.114 1.283]
Step   30000 (bc22.8)s  | [R_te] min: 336.56          max: 385.07         Avg: 358.97 (5.12)       | [MSE_tr]  0.3826    | w_noise: [0.362 0.366 0.373 0.423 0.514 0.707 0.837 0.991 1.110 1.279]
Step   31000 (bc22.8)s  | [R_te] min: 347.98          max: 393.79         Avg: 364.19 (4.10)       | [MSE_tr]  0.3820    | w_noise: [0.362 0.366 0.374 0.424 0.514 0.707 0.837 0.991 1.112 1.280]
Step   32000 (bc22.9)s  | [R_te] min: 359.99          max: 418.02         Avg: 379.27 (5.65)       | [MSE_tr]  0.3811    | w_noise: [0.362 0.367 0.373 0.423 0.514 0.707 0.835 0.991 1.112 1.282]
Step   33000 (bc22.9)s  | [R_te] min: 335.48          max: 373.07         Avg: 357.96 (3.44)       | [MSE_tr]  0.3805    | w_noise: [0.362 0.366 0.374 0.423 0.514 0.707 0.833 0.993 1.111 1.280]
Step   34000 (bc22.8)s  | [R_te] min: 352.69          max: 382.91         Avg: 364.05 (2.56)       | [MSE_tr]  0.3812    | w_noise: [0.362 0.366 0.373 0.424 0.514 0.707 0.835 0.991 1.112 1.284]
Step   35000 (bc22.8)s  | [R_te] min: 344.86          max: 385.17         Avg: 360.29 (3.68)       | [MSE_tr]  0.3804    | w_noise: [0.362 0.366 0.373 0.423 0.515 0.706 0.835 0.990 1.113 1.282]
Step   36000 (bc22.9)s  | [R_te] min: 343.45          max: 380.63         Avg: 358.63 (3.10)       | [MSE_tr]  0.3804    | w_noise: [0.362 0.366 0.374 0.423 0.514 0.707 0.836 0.989 1.114 1.282]
Step   37000 (bc22.8)s  | [R_te] min: 344.04          max: 387.92         Avg: 363.70 (4.52)       | [MSE_tr]  0.3795    | w_noise: [0.362 0.366 0.373 0.423 0.513 0.706 0.836 0.989 1.113 1.278]
Step   38000 (bc22.8)s  | [R_te] min: 346.28          max: 400.48         Avg: 373.46 (4.78)       | [MSE_tr]  0.3802    | w_noise: [0.362 0.366 0.373 0.423 0.514 0.704 0.837 0.991 1.109 1.281]
Step   39000 (bc22.9)s  | [R_te] min: 343.92          max: 365.69         Avg: 355.59 (2.07)       | [MSE_tr]  0.3814    | w_noise: [0.362 0.367 0.373 0.423 0.513 0.706 0.836 0.991 1.109 1.280]
